ca_county,d_year,store_q1_q2_increase,store_q2_q3_increase,web_q1_q2_increase,web_q2_q3_increase
Irion County,2002,0.8721250701744622,1.3241072470504327,0.9835096783109656,3.460777430513058
Meriwether County,2002,0.7618363775887427,1.260892222275216,0.8488070818392257,2.966082983221678
Barnwell County,2002,1.2234915030477362,1.8722220595822925,1.4502086991641856,1.9947344221596301
Osage County,2002,0.7018252103115646,2.4189946613019813,1.03001499813376,2.972684503459706
Tyler County,2002,0.5888063643716593,2.361116665245018,1.4960678430034318,2.6492706966609094
Fremont County,2002,0.7787155728867481,1.6554511171997484,0.9966831996596784,1.6569583825261722
Las Animas County,2002,0.643269063131265,2.3702005616607296,1.2034927679619598,3.784999117598654
Appomattox County,2002,0.6260261077721677,2.5869736496280415,0.6765112860273627,3.591601682102914
Swift County,2002,1.6232841488009608,1.51922984018372,1.977422767859513,2.8984272421232027
Greer County,2002,0.5953730127857387,2.125418488234711,1.1552703604252206,4.031368579876221
Warren County,2002,0.9046168325287716,1.9787486263281167,0.9439027928708511,2.2525372274220823
Presidio County,2002,1.1797678113601417,1.102337375101982,11.487793665423029,1.7598529673965775
Coal County,2002,0.7849750464564877,2.587421128467047,1.1392520252710943,2.7340927070461
Webb County,2002,0.7884037399192824,2.0787761596011025,0.9576388865349343,2.0918917365419283
Haines Borough,2002,0.762228369834376,2.5482506461555605,2.1690863671719307,5.354944737134381
Lassen County,2002,1.1993229738781097,1.2279507230548037,1.954448964250011,2.2973417705876265
Winnebago County,2002,1.2619143689010526,1.4897288671188282,1.5477635626709536,2.0627599448294487
Armstrong County,2002,1.3780188815180643,1.8647863510029592,1.91183677854498,1.9743701297878482
Emanuel County,2002,0.5970309270494312,1.6859509637219126,0.648487922640708,2.8504195592830075
Moody County,2002,0.8050245709265657,1.8403505247491438,1.9529363756056748,2.5574806544418967
Burke County,2002,0.8833184515216106,2.107764660207735,1.0883414478671076,2.389106425430827
Huntingdon County,2002,0.8136479751602078,1.9508991192755276,1.2700205939444806,5.696329732710458
Grant Parish,2002,1.2988028500214863,1.328841844913835,1.3085745187406328,2.0848060678531692
Stanton County,2002,0.7736965928557787,1.764821394869068,2.2093054113098005,2.014635319775319
Marengo County,2002,1.0070896470892137,1.3920679005354346,1.339342123430481,1.900062998931361
Chatham County,2002,0.800330070372932,1.815126661487506,0.9652219645102286,1.9237152395589536
Guernsey County,2002,0.7719344393966014,1.9067165790863099,1.7948740043082354,3.127117515763611
Pottawattamie County,2002,0.8909630037795204,1.5694668632479698,1.96371210068397,1.798925532648614
Powell County,2002,0.768029151399222,1.4232791820814115,0.992133407502717,2.7955727611939665
Emery County,2002,0.8022275237224427,2.0739917919429876,0.8292600492380052,2.6456801463676713
Granite County,2002,1.6419551907190626,0.751383419236706,2.2413550071312027,3.0039983706825226
Gove County,2002,1.1862957728127732,1.9255684337525159,1.2378688732022902,2.1836997624942964
Tyrrell County,2002,0.9049831262892646,2.0360509515492202,2.4386413802387965,3.7247409083167717
Autauga County,2002,1.0562411970835668,1.3103914279725424,1.658067133115487,3.615347139683246
Box Elder County,2002,0.3675328797613548,3.098863083512911,0.5055927354646932,4.836150161931429
Glacier County,2002,1.5067537008290826,1.375301630890441,1.5513986796608077,3.894341313216919
Sanpete County,2002,1.0606754313733462,1.3043671189757982,1.1600974540534934,1.4809411081867
Charlton County,2002,0.9292275607320034,2.0775026052304755,4.396810904971472,2.548789771554128
Suwannee County,2002,1.1165330087832948,1.6199634772441258,1.5353407633878162,1.7296587381102355
Dougherty County,2002,0.90465144775623,1.4316226075382783,2.146106852080027,1.5549712888007448
Bee County,2002,0.763265094691307,1.5705421443822483,1.0594643431840742,1.9404632497829426
Harper County,2002,1.2221807958859996,1.4999036135082044,1.4626929906474135,1.7793550553322717
Onondaga County,2002,0.8390919099450941,2.485299288605912,0.8808261514108394,2.525960051219636
Wheatland County,2002,1.0680964526265695,1.686115367196842,1.8979757921915823,1.7680539797979602
Pinal County,2002,1.7096709818400142,1.8394656616928682,2.7570519951120285,4.39036056829418
Chippewa County,2002,0.7400426920355047,2.2718385874087654,1.1649123261241574,2.904176712650814
Skagit County,2002,0.9054218863512398,1.8092754932585047,2.0703028484354844,3.3781437446998352
Grand Forks County,2002,0.8435463454488834,2.121717552393523,0.930619840361664,3.180447573791961
Saginaw County,2002,0.9617642056523392,1.5482729671174478,1.403531691059563,3.212824449741552
Breathitt County,2002,0.913893893053177,2.380914218260023,1.3171795171092018,3.068038016319646
