brand,brand_id,d_year,ext_price
importoscholar #2,5002002,2000,660268.18
importoedu pack #2,4002002,2000,600836.36
exportiexporti #2,3003002,2000,591164.76
importoexporti #2,3002002,2000,534425.83
exportiedu pack #2,4003002,2000,518647.58
amalgexporti #2,3001002,2000,505262.42
edu packamalg #1,1004001,2000,464954.96
edu packedu pack #2,4004002,2000,455698.63
edu packedu pack #1,4004001,2000,442322.19
importoedu pack #1,4002001,2000,421552.1
exportiimporto #2,2003002,2000,410986.91
importoamalg #2,1002002,2000,385920.12
amalgamalg #2,1001002,2000,375146.99
edu packamalg #2,1004002,2000,361988.82
edu packscholar #2,5004002,2000,358413.82
edu packimporto #2,2004002,2000,349322.1
exportischolar #2,5003002,2000,347619.55
exportiimporto #1,2003001,2000,339652.12
edu packimporto #1,2004001,2000,329112.22
importoimporto #1,2002001,2000,328780.47
exportiamalg #2,1003002,2000,321114.31
importoimporto #2,2002002,2000,314975.17
amalgedu pack #2,4001002,2000,303265.99
exportiedu pack #1,4003001,2000,298427.37
edu packexporti #2,3004002,2000,292231.63
amalgscholar #2,5001002,2000,283459.16
edu packexporti #1,3004001,2000,275723.07
amalgscholar #1,5001001,2000,229398.91
importoscholar #1,5002001,2000,218291.44
edu packscholar #1,5004001,2000,168412.95
amalgexporti #1,3001001,2000,166840.88
amalgimporto #2,2001002,2000,163707.01
amalgimporto #1,2001001,2000,159688.89
exportiexporti #1,3003001,2000,159512.22
amalgamalg #1,1001001,2000,138067.13
importoexporti #1,3002001,2000,134917.12
corpmaxi #2,9006002,2000,128357.39
edu packmaxi #2,9004002,2000,124371.37
amalgunivamalg #3,9011003,2000,116549.0
corpmaxi #6,8016006,2000,116178.44
exportibrand #8,6013008,2000,116083.55
exportinameless #8,8003008,2000,106701.53
maximaxi #9,9009009,2000,104199.2
corpmaxi #2,8016002,2000,98425.9
edu packbrand #8,7004008,2000,96489.61
edu packmaxi #6,9004006,2000,95718.64
exportibrand #6,6013006,2000,94587.22
amalgunivamalg #2,9011002,2000,94319.46
importonameless #4,7012004,2000,91445.75
exportimaxi #6,9003006,2000,91308.06
amalgmaxi #8,9001008,2000,90703.34
corpmaxi #8,8016008,2000,90666.67
edu packunivamalg #12,9014012,2000,88565.09
exportinameless #8,7013008,2000,88461.14
exportischolar #1,5003001,2000,86888.15
brandunivamalg #9,10007009,2000,86837.77
importobrand #5,7002005,2000,86475.78
corpnameless #6,7016006,2000,83135.66
importomaxi #8,8012008,2000,82645.62
exportiamalg #2,3002001,2000,81602.52
amalgedu pack #1,4001001,2000,81180.76
brandbrand #7,7007007,2000,81083.59
exportiamalg #1,1003001,2000,81005.54
exporticorp #3,6003003,2000,79882.07
importoimporto #2,1001001,2000,79197.68
univbrand #8,6010008,2000,78993.71
scholarnameless #5,7015005,2000,77244.78
exportiunivamalg #14,10003014,2000,75638.36
corpunivamalg #8,9016008,2000,75624.23
importoscholar #2,4003001,2000,75332.66
maxiunivamalg #11,10009011,2000,72564.12
exportiedu pack #2,4002001,2000,71692.21
scholarnameless #2,7015002,2000,71250.62
brandmaxi #8,9007008,2000,70898.95
maxicorp #2,2003001,2000,70306.7
amalgimporto #2,6016001,2000,70152.44
univamalgamalg #11,10010011,2000,70112.62
brandcorp #2,6007002,2000,69686.43
namelessunivamalg #6,10008006,2000,69124.3
amalgcorp #1,6001001,2000,67888.29
univbrand #2,6010002,2000,67844.68
amalgbrand #4,7001004,2000,67750.51
univbrand #7,6010007,2000,67390.98
scholarnameless #2,8005002,2000,67358.14
importomaxi #9,8012009,2000,67167.05
corpunivamalg #8,10006008,2000,67100.33
importobrand #5,6012005,2000,66940.21
amalgbrand #10,4004001,2000,66157.37
importomaxi #3,9002003,2000,66010.61
amalgunivamalg #8,9011008,2000,65934.4
univmaxi #4,1004001,2000,65779.49
edu packbrand #2,6014002,2000,65420.02
importonameless #3,8002003,2000,64856.55
maxiunivamalg #8,5002001,2000,64338.49
corpbrand #3,6016003,2000,64097.55
scholarunivamalg #9,9015009,2000,63268.93
scholarbrand #7,6015007,2000,63095.12
importoedu pack #2,6005005,2000,63076.93
univnameless #9,7010009,2000,62727.31
importounivamalg #9,9012009,2000,62589.66
