avg_quarterly_sales,i_manufact_id,sum_sales
668.11,440,384.33
668.11,440,430.68
668.11,440,1199.72
705.865,857,274.7
705.865,857,858.48
705.865,857,1006.16
724.28,960,315.53
724.28,960,487.56
724.28,960,1002.82
724.28,960,1091.21
742.0575,533,401.21
742.0575,533,440.15
742.0575,533,905.39
742.0575,533,1221.48
758.0025,754,522.68
758.0025,754,630.19
758.0025,754,849.41
758.0025,754,1029.73
758.3325,697,162.39
758.3325,697,406.2
758.3325,697,922.34
758.3325,697,1542.4
762.2075,931,186.64
762.2075,931,504.86
762.2075,931,542.87
762.2075,931,1814.46
767.5275,739,262.21
767.5275,739,477.55
767.5275,739,896.49
767.5275,739,1433.86
770.14,413,381.66
770.14,413,672.51
770.14,413,992.35
770.14,413,1034.04
772.255,705,368.31
772.255,705,589.76
772.255,705,980.32
772.255,705,1150.63
775.82,939,221.29
775.82,939,280.46
775.82,939,1256.79
775.82,939,1344.74
791.8275,371,440.18
791.8275,371,578.69
791.8275,371,1394.1
796.4175,509,429.05
796.4175,509,445.93
796.4175,509,1571.65
801.1025,678,462.14
801.1025,678,487.89
801.1025,678,1398.41
803.59,845,379.79
803.59,845,415.39
803.59,845,1086.29
803.59,845,1332.89
808.0675,968,261.18
808.0675,968,352.22
808.0675,968,1112.36
808.0675,968,1506.51
810.9775,706,363.93
810.9775,706,601.52
810.9775,706,687.29
810.9775,706,1591.17
811.29,788,178.99
811.29,788,457.92
811.29,788,1740.14
812.6075,710,320.63
812.6075,710,575.43
812.6075,710,1098.78
812.6075,710,1255.59
816.0425,757,437.55
816.0425,757,505.52
816.0425,757,1067.56
816.0425,757,1253.54
817.0625,367,342.29
817.0625,367,623.09
817.0625,367,912.49
817.0625,367,1390.38
817.8125,866,499.65
817.8125,866,608.51
817.8125,866,710.21
817.8125,866,1452.88
822.0725,873,333.34
822.0725,873,506.64
822.0725,873,1080.68
822.0725,873,1367.63
829.2125,848,347.85
829.2125,848,515.34
829.2125,848,730.34
829.2125,848,1723.32
835.0225,981,341.76
835.0225,981,716.37
835.0225,981,988.36
835.0225,981,1293.6
837.3075,847,519.88
837.3075,847,704.21
837.3075,847,1285.74
837.3975,884,234.56
837.3975,884,550.11
837.3975,884,1775.15
