channel,id,profit,returns,sales
catalog channel,1,-133379297.96,19445904.53,1125273588.0
catalog channel,2,-129607577.66,19445904.53,1129385836.83
catalog channel,5,-138066455.68,19445904.53,1157280922.63
catalog channel,7,-136606828.37,19445904.53,1157139380.12
catalog channel,8,-120176452.64,19445904.53,1162209381.75
catalog channel,11,-127625745.71,19445904.53,1130044424.82
catalog channel,13,-123461138.58,19445904.53,1124850402.24
catalog channel,14,-125851625.71,19445904.53,1160852069.11
catalog channel,17,-123017003.89,19445904.53,1130417829.82
catalog channel,19,-128966887.1,19445904.53,1154927959.26
catalog channel,20,-129893261.81,19445904.53,1155067917.37
catalog channel,23,-131767623.67,19445904.53,1185448561.1
catalog channel,,-15584117.03,19445904.53,18091780.12
catalog channel,,-1564004015.81,252796758.89,13790990053.17
store channel,1,-10024809.15,594238.0,22829129.65
store channel,2,-9780675.85,609930.32,21935958.49
store channel,4,-9568470.45,703567.32,20590973.59
store channel,7,-9800360.91,672453.95,21873491.46
store channel,8,-9566341.35,708682.18,20579465.52
store channel,10,-9660748.22,621443.35,21244711.76
store channel,13,-9981746.21,702583.56,21666933.82
store channel,14,-10195983.18,668599.74,22328704.71
store channel,16,-9972919.43,663328.68,21395706.21
store channel,19,-10185740.7,645284.21,21822313.09
store channel,20,-9710970.35,638629.78,22333200.5
store channel,22,-10193541.54,654678.69,21594581.66
store channel,25,-10012561.05,641188.11,21709687.64
store channel,26,-9511916.89,569193.65,22096491.37
store channel,28,-10499979.47,594603.9,23028912.05
store channel,31,-9649686.79,617207.47,22085632.09
store channel,32,-9532842.9,713167.48,21782110.24
store channel,34,-10769150.63,788418.86,23207188.43
store channel,37,-9575187.44,697114.41,21688840.77
store channel,38,-10783373.44,635107.46,23006828.17
store channel,40,-10122786.37,603869.11,21430693.58
store channel,43,-10313306.88,582709.04,22812113.39
store channel,44,-10268985.96,688379.36,22826486.92
store channel,46,-10236351.81,663986.56,23191456.57
store channel,49,-9728171.37,562548.98,21838208.54
store channel,50,-9640507.65,568435.54,21687447.87
store channel,52,-10915105.84,637731.11,23850545.72
store channel,55,-10151445.95,660440.45,23689432.45
store channel,56,-10427680.57,641313.65,22822478.97
store channel,58,-9956141.47,621583.19,21570129.46
store channel,61,-9725807.9,573517.98,22044419.86
store channel,62,-10235662.31,600568.82,22875344.97
store channel,64,-9821015.83,707535.34,21248654.67
store channel,67,-10244778.16,650652.74,22933555.69
store channel,68,-9729077.55,636239.08,22518695.6
store channel,70,-10003257.51,681831.2,21895309.6
store channel,73,-10008282.46,628169.93,22313481.46
store channel,74,-10201753.79,603682.88,23069085.9
store channel,76,-9710459.16,684549.07,22024115.32
store channel,79,-10307400.57,689359.88,22356624.78
store channel,80,-9997727.48,635366.67,22047644.15
store channel,82,-10184093.33,686651.73,22080175.07
store channel,85,-10297994.15,662549.83,22878972.97
store channel,86,-10079605.61,635797.33,21301722.85
store channel,88,-10242191.13,638633.84,23645927.75
store channel,91,-9640650.92,641458.97,21291951.1
store channel,92,-9503470.86,609874.62,20929372.97
store channel,94,-10145845.38,623001.93,21909404.67
store channel,97,-10119118.58,667639.01,22051730.66
store channel,98,-10638943.78,600378.2,22614319.23
store channel,100,-10040528.56,705136.21,22270093.25
store channel,,-511615154.84,32933013.37,1130820457.21
web channel,1,-564055.55,109787.42,3819462.43
web channel,2,-549076.23,99918.74,3998780.08
web channel,5,-448888.05,68062.72,3826406.91
web channel,7,-448923.22,131916.93,4002555.85
web channel,8,-351628.9,111154.41,4267609.27
web channel,11,-491784.08,59643.87,4020914.77
web channel,13,-481768.66,170118.39,3945400.66
web channel,14,-584707.88,79302.42,4158382.3
web channel,17,-526034.13,59541.5,4087950.26
web channel,19,-275370.41,109021.15,4170920.87
web channel,20,-517377.87,86918.2,3966992.05
web channel,23,-446547.61,62870.81,4218641.14
web channel,25,-405943.5,84801.43,4077577.96
web channel,26,-497763.13,127152.2,3879235.42
web channel,29,-418663.07,67842.93,3994960.5
web channel,31,-460088.74,115527.91,3907932.82
web channel,32,-473438.23,99025.1,3937526.17
web channel,35,-483775.84,34333.52,4023940.63
web channel,37,-457769.82,144767.05,4378704.02
web channel,38,-451681.31,89750.81,4074938.4
web channel,41,-331785.74,81466.57,3905617.5
web channel,43,-496477.33,117110.81,4150976.4
web channel,44,-554106.22,123594.15,4075928.01
web channel,47,-543374.24,81625.69,4102233.19
web channel,49,-493006.64,85685.89,3985522.03
web channel,50,-520654.64,71983.17,4288213.71
web channel,53,-473471.57,92690.76,4028452.47
web channel,55,-482795.19,143309.51,4165123.82
web channel,56,-462063.29,134051.29,3896935.57
web channel,59,-313631.73,55352.83,4246591.43
web channel,61,-376030.18,114903.88,3762018.31
web channel,62,-487878.04,129941.27,4104424.05
web channel,65,-540795.53,63340.87,3654046.11
web channel,67,-596888.36,137078.88,3834125.45
