other_chan_qty,other_chan_sales_price,other_chan_wholesale_cost,ratio,ss_customer_sk,ss_item_sk,ss_sold_year,store_qty,store_sales_price,store_wholesale_cost
29.0,116.16,84.03,0.9,269336,445,2002,26.0,24.69,45.3
16.0,83.48,90.95,2.38,323753,480,2002,38.0,46.68,60.48
70.0,17.29,40.29,1.03,444331,541,2002,72.0,8.01,41.6
53.0,39.81,19.58,0.77,117891,546,2002,41.0,18.25,77.63
53.0,39.32,62.72,1.53,16973,627,2002,81.0,7.41,8.51
4.0,95.58,88.06,4.0,358635,667,2002,16.0,2.74,21.35
41.0,13.4,21.32,2.2,355486,849,2002,90.0,65.22,45.55
50.0,16.94,84.31,0.5,459447,859,2002,25.0,24.26,20.22
46.0,53.18,79.06,0.87,44187,879,2002,40.0,21.81,37.87
18.0,2.01,2.51,,3622,1101,2002,,,
32.0,13.12,19.98,1.84,439065,1167,2002,59.0,4.17,14.95
23.0,12.41,18.29,1.74,171829,1434,2002,40.0,141.12,98.91
32.0,45.13,88.45,2.97,285055,1447,2002,95.0,0.39,10.09
34.0,91.68,72.56,2.85,8940,1674,2002,97.0,54.66,59.1
89.0,17.05,19.66,0.98,354798,1677,2002,87.0,7.13,91.49
88.0,136.7,78.27,0.61,60101,1825,2002,54.0,67.57,69.02
92.0,11.9,54.74,0.51,357735,1831,2002,47.0,51.25,74.94
38.0,7.72,12.22,2.47,207579,1873,2002,94.0,15.28,11.94
91.0,53.14,20.68,0.48,65390,1987,2002,44.0,53.13,75.96
74.0,18.36,63.41,0.36,39658,2005,2002,27.0,101.83,92.12
20.0,5.51,86.12,1.2,140337,2034,2002,24.0,160.97,86.49
63.0,27.77,59.68,0.48,7588,2349,2002,30.0,37.9,94.0
43.0,8.52,7.73,0.4,114565,2785,2002,17.0,8.34,23.12
2.0,39.34,52.55,43.0,162352,2881,2002,86.0,1.15,3.4
97.0,9.15,9.05,0.13,261541,3156,2002,13.0,15.79,21.79
79.0,0.85,2.3,0.51,214010,3183,2002,40.0,2.14,17.38
49.0,120.45,88.17,1.84,161999,3367,2002,90.0,62.13,95.1
99.0,150.57,83.96,0.38,303658,3501,2002,38.0,23.89,28.01
