brand,brand_id,ext_price,i_manufact,i_manufact_id
exportiexporti #2,3003002,432030.73,callyationable,276
edu packimporto #2,2004002,417519.77,eingcallyought,168
exportiimporto #2,2003002,358242.79,pribarpri,303
importoedu pack #2,4002002,344608.8,ableable,22
amalgexporti #2,3001002,312504.77,antianti,55
importoamalg #2,1002002,310234.74,n steing,89
amalgedu pack #2,7013003,266001.63,barantiese,450
scholarmaxi #2,6014007,254405.49,priese,43
amalgedu pack #2,4004001,253447.74,callyn stanti,596
edu packexporti #2,4003001,250713.13,ationbarought,359
amalgedu pack #2,4001002,247585.77,antibarought,105
scholarbrand #4,7005004,247049.91,ationeingpri,387
amalgedu pack #2,4001002,245902.33,oughtablepri,191
univbrand #2,8005001,245485.56,barcally,60
importonameless #4,10015010,243751.46,barationeing,870
namelessnameless #6,6012007,242354.46,antin stought,195
amalgscholar #2,5001002,240682.39,bareseanti,540
exportischolar #2,5003002,237242.11,oughtn stn st,991
namelesscorp #6,6008006,234240.96,antieing,85
importoexporti #2,3002002,232630.55,oughtn stese,491
importoscholar #2,5002002,232350.85,pripriought,133
edu packscholar #2,5004002,232046.38,ationcallyable,267
exportischolar #2,2003001,230959.83,eingoughteing,818
edu packscholar #2,1003001,230342.87,anticallyese,300
univmaxi #2,8010002,227313.82,callyn stese,496
amalgexporti #2,2001001,225095.76,prianti,138
edu packimporto #2,2004002,225007.24,ationpriought,137
importoexporti #2,3002002,224967.92,eingationanti,578
exportiexporti #2,3003002,224528.38,oughtese,41
scholarbrand #10,7005010,224363.55,oughtantiought,151
amalgnameless #2,9003011,224265.23,barantiese,450
exportimaxi #2,8013002,224211.07,ableesecally,642
exportiedu pack #2,10006016,224073.99,callyationanti,160
importoimporto #2,2002002,223468.09,ablen stought,192
corpnameless #4,2002001,222824.97,oughtn stanti,591
amalgedu pack #2,6003005,222742.32,esecallyese,25
importoedu pack #2,4002002,222398.11,pribarcally,603
edu packbrand #2,6014002,222391.91,callyableation,726
corpnameless #2,8006002,221807.86,ationcallyese,588
amalgamalg #2,5001001,221506.44,antiableought,125
exportinameless #8,7013008,221324.78,n steseought,149
importonameless #8,10009006,221263.46,callycally,825
scholarbrand #2,7005002,221144.04,ationoughtought,117
edu packcorp #4,1001001,220156.91,ationoughtpri,928
edu packunivamalg #13,10004013,219800.63,priprically,633
univmaxi #8,8010008,219579.03,barbarn st,900
brandnameless #2,8007002,219559.52,eseeseese,444
amalgexporti #2,1003001,219363.53,ationoughtese,417
amalgnameless #6,7011006,219065.11,eseationable,274
amalgunivamalg #4,8008005,219054.89,barn stcally,690
exportiedu pack #2,6004001,219049.61,barableeing,122
amalgbrand #8,7001008,219028.66,n stableese,429
univunivamalg #2,9010002,218973.18,barationought,170
amalgunivamalg #15,10001015,218713.48,ationableable,227
amalgexporti #2,8013007,218227.9,eingn stought,198
exportischolar #2,5003002,217800.4,prieseable,48
scholarunivamalg #13,10013012,217011.04,priableation,88
importoscholar #2,5002002,216882.22,n stcallycally,669
importobrand #2,7002002,216834.68,antieingought,185
amalgunivamalg #4,10001004,216321.21,oughteingable,281
exportischolar #2,5003002,216294.77,barableought,120
edu packmaxi #8,9004008,216066.19,antin stable,295
scholarmaxi #4,8015004,215508.83,n stbarn st,156
edu packedu pack #2,4004002,215145.1,ationcallyation,767
amalgamalg #2,1001002,215121.9,eingantiese,458
importoimporto #2,2003001,214998.96,eseeingable,284
edu packbrand #4,6007003,214635.99,esecallycally,664
amalgimporto #2,2001002,214166.48,barableable,220
importoexporti #2,3002002,214088.86,ableeingese,482
amalgedu pack #2,4001002,213687.94,ablen stable,292
univnameless #6,7010006,213619.13,eseantiought,154
corpamalgamalg #11,10016011,213304.96,callyableable,226
scholarbrand #10,6015007,213150.16,callyablepri,326
univmaxi #4,8010004,212954.15,callyableable,226
exportiunivamalg #8,9013008,212726.38,ableought,12
importoamalgamalg #15,10012015,212486.95,barcallyable,260
amalgnameless #6,7011006,212472.18,eing,8
amalgnameless #8,6011001,212400.26,barbaration,239
exportiexporti #2,7014009,212388.81,barcallyable,260
exportinameless #6,7013006,212336.22,n stableought,129
exportiexporti #2,10002012,212076.09,oughtationought,171
exportinameless #2,8003002,211324.17,antieinganti,585
edu packcorp #2,5002001,210646.02,ationcallypri,367
importoimporto #2,2002002,210483.45,esebarable,204
corpamalgamalg #16,10016016,210017.29,oughteing,81
edu packamalg #2,1004002,209943.52,barbarcally,600
exportibrand #2,7003002,209871.75,eingpriable,544
edu packbrand #4,6014004,209491.65,eingese,48
importoimporto #2,7006001,209258.2,esebarought,104
amalgbrand #4,6011004,209200.23,eingablepri,328
edu packamalgamalg #15,10014015,208969.49,ableanti,52
amalgunivamalg #6,4003001,208945.34,ationable,631
exportiexporti #2,6004007,208861.77,priation,73
importoexporti #2,1004001,208188.14,ationesepri,347
corpnameless #2,8006002,208149.9,oughtationought,171
importoedu pack #2,4002002,208088.35,ationantianti,557
edu packedu pack #2,7008005,207830.57,ationn st,514
edu packimporto #2,2004002,207544.35,ablen station,792
importoedu pack #2,2004001,207080.2,oughteingese,481
importoexporti #2,3002002,206915.26,callybarpri,306
