i_brand,i_category,i_class,i_product_name,qoh
exportiedu pack #1,Shoes,kids,eingprin stesebarought,453.93175853018374
exportiedu pack #1,,kids,eingprin stesebarought,453.93175853018374
exportiedu pack #1,,,eingprin stesebarought,453.93175853018374
,,,eingprin stesebarought,453.93175853018374
amalgexporti #1,Children,newborn,baroughtn stbarbarought,456.8307086614173
amalgexporti #1,,newborn,baroughtn stbarbarought,456.8307086614173
amalgexporti #1,,,baroughtn stbarbarought,456.8307086614173
,,,baroughtn stbarbarought,456.8307086614173
edu packamalgamalg #3,Electronics,automotive,eingationableoughtese,457.1835106382979
edu packamalgamalg #3,,automotive,eingationableoughtese,457.1835106382979
edu packamalgamalg #3,,,eingationableoughtese,457.1835106382979
,,,eingationableoughtese,457.1835106382979
edu packedu pack #1,Shoes,athletic,esecallyeingcallycallyought,457.79973297730305
edu packedu pack #1,,athletic,esecallyeingcallycallyought,457.79973297730305
edu packedu pack #1,,,esecallyeingcallycallyought,457.79973297730305
,,,esecallyeingcallycallyought,457.79973297730305
exportimaxi #11,Books,computers,ableeseableprieing,457.9329829172142
exportimaxi #11,,computers,ableeseableprieing,457.9329829172142
exportimaxi #11,,,ableeseableprieing,457.9329829172142
,,,ableeseableprieing,457.9329829172142
edu packamalg #1,Women,swimwear,barn stesecallyation,458.0644295302013
edu packamalg #1,,swimwear,barn stesecallyation,458.0644295302013
edu packamalg #1,,,barn stesecallyation,458.0644295302013
,,,barn stesecallyation,458.0644295302013
corpunivamalg #10,Electronics,musical,n stprieingoughtbarought,458.43027888446215
corpunivamalg #10,,musical,n stprieingoughtbarought,458.43027888446215
corpunivamalg #10,,,n stprieingoughtbarought,458.43027888446215
,,,n stprieingoughtbarought,458.43027888446215
brandbrand #3,Home,decor,ablen steingpri,458.97229551451187
brandbrand #3,,decor,ablen steingpri,458.97229551451187
brandbrand #3,,,ablen steingpri,458.97229551451187
,,,ablen steingpri,458.97229551451187
importoedu pack #2,Shoes,mens,n stesecallyablebarought,459.1010638297872
importoedu pack #2,,mens,n stesecallyablebarought,459.1010638297872
importoedu pack #2,,,n stesecallyablebarought,459.1010638297872
,,,n stesecallyablebarought,459.1010638297872
amalgunivamalg #2,Books,cooking,oughtcallybarcallypri,459.20079787234044
amalgunivamalg #2,,cooking,oughtcallybarcallypri,459.20079787234044
amalgunivamalg #2,,,oughtcallybarcallypri,459.20079787234044
,,,oughtcallybarcallypri,459.20079787234044
edu packimporto #1,Men,sports-apparel,ableeingoughtableese,459.63527851458883
edu packimporto #1,,sports-apparel,ableeingoughtableese,459.63527851458883
edu packimporto #1,,,ableeingoughtableese,459.63527851458883
,,,ableeingoughtableese,459.63527851458883
exportiexporti #1,Children,toddlers,bareingoughtbarese,459.73333333333335
exportiexporti #1,,toddlers,bareingoughtbarese,459.73333333333335
exportiexporti #1,,,bareingoughtbarese,459.73333333333335
,,,bareingoughtbarese,459.73333333333335
exportiamalgamalg #10,Electronics,stereo,oughtbarationn steing,460.3541944074567
exportiamalgamalg #10,,stereo,oughtbarationn steing,460.3541944074567
exportiamalgamalg #10,,,oughtbarationn steing,460.3541944074567
,,,oughtbarationn steing,460.3541944074567
univmaxi #3,Sports,pools,ableableableeseantiought,460.38844086021504
univmaxi #3,,pools,ableableableeseantiought,460.38844086021504
univmaxi #3,,,ableableableeseantiought,460.38844086021504
,,,ableableableeseantiought,460.38844086021504
corpunivamalg #12,Electronics,musical,eingpriationcallyeseought,460.57390146471374
corpunivamalg #12,,musical,eingpriationcallyeseought,460.57390146471374
corpunivamalg #12,,,eingpriationcallyeseought,460.57390146471374
,,,eingpriationcallyeseought,460.57390146471374
corpcorp #7,Jewelry,rings,ablecallyeingn station,461.16733067729086
corpcorp #7,,rings,ablecallyeingn station,461.16733067729086
corpcorp #7,,,ablecallyeingn station,461.16733067729086
,,,ablecallyeingn station,461.16733067729086
scholarnameless #5,Home,tables,eseablecallyesepriought,461.60419397116647
scholarnameless #5,,tables,eseablecallyesepriought,461.60419397116647
scholarnameless #5,,,eseablecallyesepriought,461.60419397116647
,,,eseablecallyesepriought,461.60419397116647
edu packmaxi #9,Sports,tennis,eingbarantiableanti,461.63967611336034
edu packmaxi #9,,tennis,eingbarantiableanti,461.63967611336034
edu packmaxi #9,,,eingbarantiableanti,461.63967611336034
,,,eingbarantiableanti,461.63967611336034
edu packamalgamalg #1,Electronics,automotive,oughtpribarpripri,461.6745098039216
edu packamalgamalg #1,,automotive,oughtpribarpripri,461.6745098039216
edu packamalgamalg #1,,,oughtpribarpripri,461.6745098039216
,,,oughtpribarpripri,461.6745098039216
amalgmaxi #3,Sports,archery,ableanticallyn stese,461.6839309428951
amalgmaxi #3,,archery,ableanticallyn stese,461.6839309428951
amalgmaxi #3,,,ableanticallyn stese,461.6839309428951
,,,ableanticallyn stese,461.6839309428951
exportimaxi #4,Sports,sailing,priationoughtbareseought,461.8957783641161
exportimaxi #4,,sailing,priationoughtbareseought,461.8957783641161
exportimaxi #4,,,priationoughtbareseought,461.8957783641161
,,,priationoughtbareseought,461.8957783641161
edu packedu pack #1,Shoes,athletic,barcallyeseeingationought,461.9371727748691
edu packedu pack #1,,athletic,barcallyeseeingationought,461.9371727748691
edu packedu pack #1,,,barcallyeseeingationought,461.9371727748691
,,,barcallyeseeingationought,461.9371727748691
edu packmaxi #6,Sports,tennis,antin stbareseese,462.3918205804749
edu packmaxi #6,,tennis,antin stbareseese,462.3918205804749
edu packmaxi #6,,,antin stbareseese,462.3918205804749
,,,antin stbareseese,462.3918205804749
importoimporto #2,Men,shirts,antin steingbarpri,462.54259501965925
importoimporto #2,,shirts,antin steingbarpri,462.54259501965925
importoimporto #2,,,antin steingbarpri,462.54259501965925
,,,antin steingbarpri,462.54259501965925
importoscholar #1,Music,country,bareingeingcallypri,462.6283068783069
importoscholar #1,,country,bareingeingcallypri,462.6283068783069
importoscholar #1,,,bareingeingcallypri,462.6283068783069
,,,bareingeingcallypri,462.6283068783069
