brand,brand_id,d_year,sum_agg
amalgamalg #2,1001002,1998,11388.35
exportiedu pack #1,4003001,1998,10277.96
amalgexporti #1,3001001,1998,6591.99
amalgbrand #7,7001007,1998,4314.9
univunivamalg #11,9010011,1998,4276.81
namelesscorp #5,6008005,1998,4143.26
exportiexporti #1,3003001,1998,4130.31
amalgedu pack #2,4001002,1998,3925.38
corpmaxi #6,8016006,1998,3919.79
maxicorp #2,6009002,1998,3835.17
importoexporti #1,3002001,1998,3761.65
amalgunivamalg #9,9011009,1998,3702.65
edu packamalg #2,1004002,1998,3652.57
exportiimporto #1,2003001,1998,3519.46
univnameless #9,7010009,1998,3487.59
importoimporto #1,2002001,1998,3436.79
scholarmaxi #11,9005011,1998,3391.37
edu packunivamalg #5,9014005,1998,3302.55
exportimaxi #11,9003011,1998,3301.73
importoexporti #2,3002002,1998,3269.01
namelessnameless #4,8008004,1998,3194.38
scholarmaxi #5,9005005,1998,3129.21
edu packscholar #1,5004001,1998,3112.99
exportiimporto #2,2003002,1998,3067.46
importoamalg #1,1002001,1998,2913.59
corpmaxi #5,9006005,1998,2894.86
edu packedu pack #2,4004002,1998,2856.77
importounivamalg #2,9012002,1998,2795.62
amalgedu pack #1,4001001,1998,2726.46
amalgamalg #2,1001002,1999,10404.09
exportiedu pack #1,4003001,1999,10083.87
amalgexporti #1,3001001,1999,6492.16
corpmaxi #5,9006005,1999,4349.03
importoimporto #1,2002001,1999,4052.89
univnameless #9,7010009,1999,3994.03
importounivamalg #2,9012002,1999,3966.0
namelesscorp #5,6008005,1999,3944.63
exportiimporto #1,2003001,1999,3935.13
importoexporti #2,3002002,1999,3881.57
edu packscholar #1,5004001,1999,3818.47
namelessnameless #4,8008004,1999,3764.49
edu packamalg #2,1004002,1999,3450.5
amalgbrand #7,7001007,1999,3399.59
corpmaxi #6,8016006,1999,3353.29
importoamalg #1,1002001,1999,3319.43
scholarmaxi #11,9005011,1999,3250.04
amalgunivamalg #9,9011009,1999,3238.56
exportiimporto #2,2003002,1999,3207.66
univunivamalg #11,9010011,1999,3182.13
edu packedu pack #2,4004002,1999,3158.36
exportimaxi #11,9003011,1999,3140.48
scholarmaxi #5,9005005,1999,3087.63
amalgedu pack #2,4001002,1999,3016.11
maxicorp #2,6009002,1999,2952.15
importoexporti #1,3002001,1999,2793.89
exportiexporti #1,3003001,1999,2780.64
amalgedu pack #1,4001001,1999,2726.24
edu packunivamalg #5,9014005,1999,2720.01
amalgamalg #2,1001002,2000,10597.55
exportiedu pack #1,4003001,2000,10370.86
exportiimporto #1,2003001,2000,4173.44
corpunivamalg #12,9006005,2000,4059.62
namelessnameless #4,8008004,2000,4047.75
exportiedu pack #2,6015003,2000,4008.6
amalgunivamalg #9,9011009,2000,3940.04
maxicorp #2,6009002,2000,3751.03
scholarunivamalg #11,9010011,2000,3734.53
corpmaxi #6,8016006,2000,3563.78
importoamalg #2,1002002,2000,3523.49
scholarmaxi #8,8015008,2000,3508.52
importoamalg #1,1002001,2000,3446.35
importoexporti #2,3002002,2000,3441.61
exportiimporto #2,2003002,2000,3410.3
edu packscholar #1,5004001,2000,3363.89
univnameless #9,7010009,2000,3319.6
exportibrand #2,6013002,2000,3211.21
edu packedu pack #2,4004002,2000,3130.89
edu packbrand #10,7004010,2000,3068.83
maxicorp #8,6009008,2000,3045.73
edu packamalg #2,1004002,2000,2886.71
amalgedu pack #2,4001002,2000,2875.78
amalgedu pack #1,4001001,2000,2730.97
amalgbrand #7,7001007,2000,2665.92
importounivamalg #2,9012002,2000,2262.56
amalgamalg #2,1001002,2001,10214.82
scholarunivamalg #11,9010011,2001,4220.64
amalgedu pack #2,4001002,2001,4069.26
importoedu pack #2,4003001,2001,3923.97
importoexporti #2,3002002,2001,3898.7
corpmaxi #6,8016006,2001,3872.18
importoamalg #2,1002002,2001,3806.94
univamalgamalg #4,6010005,2001,3776.51
edu packedu pack #2,4004002,2001,3764.95
importounivamalg #2,9012002,2001,3730.38
brandnameless #2,2003001,2001,3511.72
exportimaxi #10,4004001,2001,3471.22
brandnameless #2,4001001,2001,3398.96
edu packbrand #10,7004010,2001,3391.13
exportiimporto #2,2003002,2001,3390.74
corpbrand #8,4003001,2001,3340.86
