gross_margin,i_category,i_class,lochierarchy,rank_within_parent
-0.43350909889421896,,,2,1
-0.4355415719069778,,,1,1
-0.4351410922936787,Music,,1,2
-0.4342234851619854,Electronics,,1,3
-0.4337535996698002,Shoes,,1,4
-0.4335171517088864,Women,,1,5
-0.43342304934513465,Jewelry,,1,6
-0.4333624036089231,Sports,,1,7
-0.43309366952754946,Men,,1,8
-0.4330255343927974,Children,,1,9
-0.4329416584017775,Home,,1,10
-0.43257763306845676,Books,,1,11
-0.43546471472086656,Books,mystery,0,1
-0.4349080067985995,Books,history,0,2
-0.4346440997278045,Books,self-help,0,3
-0.4342205802384419,Books,computers,0,4
-0.4339208226952231,Books,reference,0,5
-0.433350288112563,Books,fiction,0,6
-0.43314592003282887,Books,entertainments,0,7
-0.43310745263651007,Books,sports,0,8
-0.432693592335311,Books,business,0,9
-0.4324688213076482,Books,science,0,10
-0.4323380172665767,Books,parenting,0,11
-0.43192991047817825,Books,cooking,0,12
-0.43181686359291066,Books,romance,0,13
-0.43031038286806794,Books,home repair,0,14
-0.4301792612172146,Books,arts,0,15
-0.42744288548943654,Books,travel,0,16
-0.3936099234596427,Books,,0,17
-0.434358849734535,Children,infants,0,1
-0.433034187856506,Children,toddlers,0,2
-0.43288737280578726,Children,newborn,0,3
-0.4319060202974167,Children,school-uniforms,0,4
-0.40483642148085,Children,,0,5
-0.4390559226503168,Electronics,,0,1
-0.437924011922294,Electronics,stereo,0,2
-0.43713485297225696,Electronics,audio,0,3
-0.43633709036718255,Electronics,portable,0,4
-0.4360956076517215,Electronics,karoke,0,5
-0.4358151799409579,Electronics,televisions,0,6
-0.43511036922112434,Electronics,musical,0,7
-0.4349419481158337,Electronics,automotive,0,8
-0.43456448968253686,Electronics,disk drives,0,9
-0.4343686796951529,Electronics,cameras,0,10
-0.43353655649636846,Electronics,personal,0,11
-0.4333610935290208,Electronics,memory,0,12
-0.43251827324971953,Electronics,monitors,0,13
-0.4322982560325024,Electronics,wireless,0,14
-0.4316173288367166,Electronics,dvd/vcr players,0,15
-0.43100858539718734,Electronics,scanners,0,16
-0.4306667995609901,Electronics,camcorders,0,17
-0.4362948603793367,Home,glassware,0,1
-0.4358330084748083,Home,rugs,0,2
-0.4354921688973787,Home,tables,0,3
-0.43419241408647363,Home,paint,0,4
-0.4339853208237671,Home,wallpaper,0,5
-0.4339827727481655,Home,lighting,0,6
-0.43321443327732373,Home,flatware,0,7
-0.43318525676427866,Home,curtains/drapes,0,8
-0.43298196627628077,Home,mattresses,0,9
-0.4325393567983264,Home,kids,0,10
-0.43209575574018017,Home,accent,0,11
-0.4317562337557268,Home,bedding,0,12
-0.43097403639249526,Home,decor,0,13
-0.43071377816278283,Home,furniture,0,14
-0.4304882636501026,Home,,0,15
-0.4301654413471613,Home,bathroom,0,16
-0.4298835140378097,Home,blinds/shades,0,17
-0.43644267693278205,Jewelry,loose stones,0,1
-0.4355720296004543,Jewelry,gold,0,2
-0.43476424131388947,Jewelry,pendants,0,3
-0.43462753374461716,Jewelry,womens watch,0,4
-0.43455805132664005,Jewelry,estate,0,5
-0.43453912551664386,Jewelry,custom,0,6
-0.43451923455455777,Jewelry,mens watch,0,7
-0.43376744691074093,Jewelry,,0,8
-0.4337129096173093,Jewelry,consignment,0,9
-0.4337034242467403,Jewelry,birdal,0,10
-0.43321254184264407,Jewelry,rings,0,11
-0.4328377471089274,Jewelry,semi-precious,0,12
-0.43214510876243784,Jewelry,jewelry boxes,0,13
-0.4319247396196096,Jewelry,diamonds,0,14
-0.4316502292831878,Jewelry,costume,0,15
-0.4304064287431779,Jewelry,bracelets,0,16
-0.42999349706145595,Jewelry,earings,0,17
-0.4341413017957516,Men,pants,0,1
-0.43321880641295213,Men,shirts,0,2
-0.4331554191784298,Men,accessories,0,3
-0.431883992232943,Men,sports-apparel,0,4
-0.4276956612000288,Men,,0,5
-0.4358347780696023,Music,rock,0,1
-0.43541909481122437,Music,classical,0,2
-0.4349359045609166,Music,pop,0,3
-0.43439124335117096,Music,country,0,4
-0.42653952442777515,Music,,0,5
-0.43456608814757325,Shoes,kids,0,1
-0.4337317848290623,Shoes,athletic,0,2
-0.4336626790338763,Shoes,womens,0,3
-0.4331254954625773,Shoes,mens,0,4
-0.4217990705981726,Shoes,,0,5
