ca_state,ca_zip,sum
RI,01099,71.72
NH,02504,10.89
NJ,03077,35.54
NH,03994,241.2
NJ,04204,154.97
MA,06352,14.24
MA,09321,36.9
NJ,09903,10.3
NY,10191,22.74
NY,11289,49.24
NY,11952,13.54
PA,12293,13.72
PA,12808,12.93
NY,13683,25.88
NY,13951,19.72
PA,14136,11.97
PA,14466,90.35
NY,16787,17.11
NY,17057,49.36
NC,20162,6.6
VA,20162,94.2
VA,21521,52.46
NC,21711,138.96
VA,22812,45.01
WV,23604,28.41
NC,24098,0.75
VA,24554,38.18
SC,25038,18.19
VA,25038,39.55
VA,25281,44.02
VA,26871,68.83
SC,26971,120.66
WV,26971,14.95
SC,29303,114.31
WV,29310,110.52
NC,29431,40.95
WV,29840,108.41
AL,30150,34.99
,30150,86.55
TN,30399,0.0
GA,30587,34.46
FL,31289,0.0
TN,31387,82.0
AL,31521,127.58
AL,31904,94.21
FL,31904,99.36
GA,34244,4.36
AL,34854,13.84
GA,34854,0.91
GA,35281,24.74
TN,35281,23.52
GA,35709,13.31
TN,35752,66.94
GA,35817,6.05
AL,36060,20.65
GA,36557,26.61
GA,36787,1.93
AL,36871,10.58
FL,37057,39.97
GA,38222,5.98
GA,38371,22.63
GA,38579,106.42
AL,38605,27.15
AL,39003,21.15
GA,39310,5.8
IN,40534,23.75
OH,40618,88.16
IN,41521,0.2
IN,41732,10.79
OH,42477,74.89
IN,43451,18.16
OH,43683,7.33
OH,44098,47.88
KY,44466,154.44
OH,44536,16.89
,44854,1.94
IN,45038,42.91
OH,45465,90.49
OH,45673,19.35
KY,45709,30.58
KY,46534,84.08
IN,46867,91.43
IN,46909,62.9
MI,48054,13.25
IN,48222,34.77
MI,49532,19.34
MN,50169,26.37
WI,51675,6.29
SD,51757,20.19
WI,51757,57.97
MS,51904,14.67
IA,51933,47.55
SD,51952,28.22
MN,52898,193.69
IA,53790,39.35
ND,55281,6.82
SD,55281,41.25
IA,56060,131.66
WI,56060,26.44
MN,56192,19.66
