avg_monthly_sales,d_moy,d_year,i_category,nsum,psum,sum_sales
585847.5208333334,2,2001,Children,334372.25,374368.36,309118.0
568775.2241666666,2,2001,Shoes,328427.72,357545.9,293995.29
587231.7066666667,2,2001,Children,331955.02,367673.57,312545.72
581504.7933333333,2,2001,Children,328350.58,368796.81,307672.92
562137.6716666666,2,2001,Men,319955.57,352706.41,289484.93
565408.2308333333,2,2001,Women,321655.83,364507.18,292871.13
564565.9791666666,2,2001,Children,317414.04,363072.11,292949.08
567164.0108333334,2,2001,Music,325636.12,365606.36,297125.78
560620.135,2,2001,Children,322901.1,350750.15,291230.04
563873.8616666667,2,2001,Women,320422.56,355160.86,295329.2
558231.8158333333,2,2001,Women,329942.89,357833.8,289970.21
574348.9908333333,2,2001,Shoes,322184.51,361522.25,306310.81
559742.3283333334,2,2001,Men,328008.91,356601.68,291811.35
562361.7158333333,2,2001,Women,327398.37,359788.63,295198.02
562483.4325,2,2001,Men,329769.98,361270.92,295363.08
562291.7875,2,2001,Men,318972.14,357999.41,295313.8
554267.3616666667,2,2001,Shoes,313644.87,357086.62,288153.07
560242.775,2,2001,Men,327987.24,348910.11,295180.18
572711.4308333333,2,2001,Shoes,316177.28,365775.26,308216.06
563595.3741666666,2,2001,Children,332250.99,363844.89,299173.19
551095.4833333333,2,2001,Music,318777.88,354474.25,286864.06
555018.4133333333,2,2001,Shoes,327841.94,349327.06,290800.29
549626.6766666666,2,2001,Shoes,314726.05,348993.2,286898.9
545960.1575,2,2001,Children,318505.89,342323.22,283858.63
556816.38,2,2001,Men,321719.52,354805.39,294889.14
557504.6625,2,2001,Men,324433.55,352138.77,295588.17
554658.835,2,2001,Shoes,317902.51,352967.81,292979.93
554799.1675,2,2001,Women,317275.15,351493.95,293162.88
567253.1525,2,2001,Children,325815.78,366709.95,305881.69
565825.1916666667,2,2001,Children,323169.89,357903.3,304487.17
547791.2516666667,2,2001,Shoes,308999.8,352716.85,286764.0
567302.4591666666,2,2001,Music,326374.31,355986.6,306929.58
559548.9041666667,2,2001,Women,326244.49,353079.58,299219.25
556796.6025,2,2001,Children,316541.52,359791.16,296924.41
566561.43,2,2001,Children,323192.77,364293.47,306942.29
558892.7958333333,2,2001,Men,317604.86,358706.17,299654.53
560982.9241666667,2,2001,Men,319578.16,353749.85,301842.76
552521.1816666666,2,2001,Shoes,306953.99,361142.95,294245.59
547346.465,2,2001,Children,318298.27,352124.35,289089.37
531698.1525,2,2001,Music,295919.36,342166.77,273678.46
555112.5016666667,2,2001,Music,317350.07,352467.76,297153.3
546888.2233333334,2,2001,Women,319275.35,345985.62,289001.09
549354.82,2,2001,Shoes,314236.28,354154.93,291586.63
545948.0291666667,2,2001,Children,309415.43,340349.72,288193.4
539379.8541666666,2,2001,Men,313961.49,344192.69,282013.89
562179.2233333334,2,2001,Shoes,319503.89,359826.53,304856.82
555758.8716666667,2,2001,Children,321191.56,354090.71,298444.49
540093.8425,2,2001,Children,316763.43,354482.36,283124.1
542113.8975,2,2001,Music,314840.34,342978.2,285148.38
543426.2558333334,2,2001,Music,312792.27,352079.18,286529.03
572711.4308333333,3,2001,Shoes,321648.41,308216.06,316177.28
554712.3308333333,2,2001,Music,318870.79,353020.96,298275.66
549293.8933333333,2,2001,Music,315778.87,352685.22,293602.36
533948.8258333333,2,2001,Women,309384.51,331945.17,278303.84
539357.4258333333,2,2001,Men,307811.48,348512.16,283772.23
566561.43,6,2001,Children,348208.53,329022.66,310984.0
561664.5908333333,2,2001,Shoes,326424.65,356451.05,306143.91
587231.7066666667,3,2001,Children,347462.61,312545.72,331955.02
544914.8925,2,2001,Music,305961.53,355836.48,290200.7
567645.7433333333,2,2001,Music,321885.47,366858.35,312940.93
542798.3491666666,2,2001,Shoes,319299.66,342631.15,288133.83
