channel,currency_rank,item,return_rank,return_ratio
catalog,10,149113,1,0.0
catalog,17,180780,1,0.0
catalog,73,27162,1,0.0
catalog,74,166209,1,0.0
catalog,242,5613,1,0.0
catalog,262,74149,1,0.0
catalog,307,121603,1,0.0
catalog,368,91878,1,0.0
catalog,552,58009,1,0.0
catalog,740,145591,1,0.0
catalog,1232,179845,1,0.0
catalog,1599,156630,1,0.0
catalog,1611,88411,1,0.0
catalog,1676,17532,1,0.0
catalog,1706,34635,1,0.0
catalog,1790,57771,1,0.0
catalog,1837,184500,1,0.0
catalog,1940,13957,1,0.0
catalog,1968,1359,1,0.0
catalog,2004,55065,1,0.0
catalog,2497,23439,1,0.0
catalog,2601,174381,1,0.0
catalog,2610,133320,1,0.0
catalog,2628,85029,1,0.0
catalog,2628,157053,1,0.0
catalog,2643,143958,1,0.0
catalog,2643,192828,1,0.0
catalog,2736,120189,1,0.0
catalog,2785,171091,1,0.0
catalog,2829,15234,1,0.0
catalog,2940,154050,1,0.0
catalog,3263,167664,1,0.0
catalog,3294,85879,1,0.0
catalog,3363,6645,1,0.0
catalog,3363,51468,1,0.0
catalog,3363,57397,1,0.0
catalog,3363,79494,1,0.0
catalog,3788,201121,1,0.0
catalog,1,48979,40,0.40404040404040403
catalog,2,101875,41,0.41237113402061853
catalog,3,124177,43,0.43010752688172044
catalog,4,61575,44,0.44
catalog,5,166812,45,0.44680851063829785
catalog,6,117576,47,0.4536082474226804
catalog,7,199279,48,0.45454545454545453
catalog,8,7662,50,0.46
catalog,9,103284,51,0.46875
store,38,194694,1,0.0
store,82,79062,1,0.0
store,141,145248,1,0.0
store,202,44265,1,0.0
store,305,20442,1,0.0
store,347,138834,1,0.0
store,374,98970,1,0.0
store,410,170028,1,0.0
store,465,130521,1,0.0
store,474,81048,1,0.0
store,533,145383,1,0.0
store,578,52950,1,0.0
store,727,194400,1,0.0
store,749,200196,1,0.0
store,792,165679,1,0.0
store,844,14502,1,0.0
store,875,156285,1,0.0
store,910,48799,1,0.0
store,932,51078,1,0.0
store,980,46921,1,0.0
store,1039,55416,1,0.0
store,1062,170611,1,0.0
store,1120,200172,1,0.0
store,1143,51057,1,0.0
store,1143,122814,1,0.0
store,1143,164694,1,0.0
store,1265,76800,1,0.0
store,1,40437,28,0.6060606060606061
store,2,160821,30,0.6185567010309279
store,3,62796,31,0.625
store,3,63330,31,0.625
store,5,75684,33,0.63
store,5,202033,33,0.63
store,7,93009,35,0.6458333333333334
store,8,166093,36,0.6477272727272727
store,9,28836,37,0.65
store,10,163,38,0.66
web,35,63402,1,0.0
web,203,165975,1,0.0
web,219,169873,1,0.0
web,263,18949,1,0.0
web,292,117841,1,0.0
web,325,147015,1,0.0
web,334,76779,1,0.0
web,381,17815,1,0.0
web,391,156403,1,0.0
web,549,184219,1,0.0
web,554,193593,1,0.0
web,579,127063,1,0.0
web,582,133677,1,0.0
web,610,70453,1,0.0
web,668,8916,1,0.0
web,753,69744,1,0.0
