brand,brand_id,ext_price
edu packedu pack #2,4004002,6671762.9
exportiamalg #2,1003002,6538663.81
amalgscholar #2,5001002,6508261.08
importoexporti #2,3002002,6450364.43
exportiimporto #2,2003002,6071129.37
edu packexporti #2,3004002,5922308.67
exportiexporti #2,3003002,5815779.9
importoscholar #2,5002002,5695311.02
amalgexporti #2,3001002,5682312.52
importoamalg #2,1002002,5679068.32
exportischolar #2,5003002,5674663.45
edu packamalg #2,1004002,5346845.92
amalgimporto #2,2001002,5308647.47
importoimporto #2,2002002,4980308.98
amalgedu pack #2,4001002,4836569.33
amalgamalg #2,1001002,4812927.41
exportiedu pack #2,4003002,4731720.08
edu packimporto #2,2004002,4464406.84
importoedu pack #2,4002002,3654247.38
edu packscholar #2,5004002,3288414.12
importonameless #2,7012002,1039476.51
importonameless #4,8002004,985075.01
importonameless #10,7012010,902444.93
scholarcorp #2,6005002,867738.22
brandnameless #2,8007002,859613.67
edu packbrand #4,6014004,852362.86
corpbrand #4,7006004,828309.35
namelessbrand #6,7008006,807257.85
univmaxi #6,8010006,777790.97
maximaxi #8,9009008,771999.62
importonameless #2,8002002,723460.34
exportibrand #8,7003008,721410.43
maxicorp #2,6009002,715181.64
univnameless #2,7010002,696227.45
corpnameless #8,7016008,694586.04
exporticorp #4,6003004,672171.3
brandcorp #2,6007002,669483.5
namelesscorp #4,6008004,652488.05
corpmaxi #6,8016006,646205.99
univbrand #6,6010006,644566.57
amalgmaxi #8,9001008,606185.03
maxinameless #4,8009004,585964.87
amalgbrand #2,6011002,580129.83
corpcorp #8,6006008,577591.39
amalgcorp #8,6001008,575555.37
scholarnameless #4,7015004,573375.18
importonameless #6,8002006,554739.69
amalgmaxi #12,9001012,550609.9
maxibrand #4,7009004,543165.87
amalgbrand #4,7001004,536398.48
edu packnameless #8,7014008,533915.88
scholarbrand #4,6015004,531374.33
amalgmaxi #4,9001004,528095.37
scholarunivamalg #10,10005010,525967.8
univbrand #2,6010002,521841.01
brandbrand #8,7007008,519769.44
scholarcorp #6,6005006,515445.76
amalgmaxi #8,8011008,515413.58
corpcorp #4,6006004,514515.21
corpcorp #2,6006002,512208.5
namelessnameless #4,8008004,511025.31
corpnameless #4,8006004,503784.0
importobrand #4,6012004,503454.22
corpunivamalg #7,10006007,501714.08
importonameless #8,7012008,499096.16
edu packnameless #4,7014004,495445.19
scholarmaxi #10,8015010,491811.88
amalgunivamalg #2,9011002,490332.18
corpbrand #10,7006010,480074.8
importounivamalg #12,9012012,479929.33
exportibrand #10,7003010,473468.7
scholarbrand #6,6015006,471817.03
importomaxi #4,8012004,468993.81
univunivamalg #12,9010012,464493.63
univbrand #8,6010008,458273.4
amalgscholar #2,2003001,455166.25
corpmaxi #10,9006010,452949.43
edu packnameless #10,8004010,452731.19
importomaxi #8,9002008,448354.83
edu packmaxi #2,9004002,447660.51
brandbrand #4,7007004,443113.26
namelesscorp #2,6008002,437979.8
amalgnameless #8,7011008,435122.66
namelessbrand #2,7008002,433801.82
namelessmaxi #8,9008008,425899.05
edu packmaxi #2,8014002,424582.25
exportiunivamalg #2,9013002,420994.0
corpunivamalg #6,9016006,406591.83
amalgmaxi #2,9001002,405820.81
maxibrand #10,7009010,405447.15
amalgunivamalg #16,10001016,405296.38
corpunivamalg #4,9016004,398656.7
importocorp #4,6002004,396551.02
exportibrand #4,6013004,395978.95
importomaxi #2,9002002,394589.22
exportimaxi #10,9003010,393356.82
amalgmaxi #10,8011010,392951.09
edu packnameless #2,8004002,391802.57
exportiamalg #2,4003001,384762.69
exportiamalgamalg #10,10013010,383980.18
