avg_monthly_sales,i_manager_id,sum_sales
198061.5475,1,107480.15
198061.5475,1,112407.83
198061.5475,1,113808.89
198061.5475,1,113907.03
198061.5475,1,113962.47
198061.5475,1,119531.43
198061.5475,1,122509.69
198061.5475,1,258936.08
198061.5475,1,259609.28
198061.5475,1,271692.79
198061.5475,1,379258.08
198061.5475,1,403634.85
201435.96166666667,2,111526.72
201435.96166666667,2,111629.45
201435.96166666667,2,114476.06
201435.96166666667,2,114583.17
201435.96166666667,2,114644.33
201435.96166666667,2,117553.81
201435.96166666667,2,119890.01
201435.96166666667,2,260572.38
201435.96166666667,2,271139.11
201435.96166666667,2,275468.15
201435.96166666667,2,393255.48
201435.96166666667,2,412492.87
159806.1175,3,85182.56
159806.1175,3,85640.53
159806.1175,3,89211.13
159806.1175,3,90061.35
159806.1175,3,94690.08
159806.1175,3,98467.6
159806.1175,3,98824.68
159806.1175,3,207836.7
159806.1175,3,208850.5
159806.1175,3,210231.46
159806.1175,3,314016.09
159806.1175,3,334660.73
183118.29083333333,4,94890.25
183118.29083333333,4,103398.16
183118.29083333333,4,105603.72
183118.29083333333,4,108114.75
183118.29083333333,4,108610.21
183118.29083333333,4,108821.38
183118.29083333333,4,109491.79
183118.29083333333,4,235705.06
183118.29083333333,4,242511.51
183118.29083333333,4,253085.74
183118.29083333333,4,352254.73
183118.29083333333,4,374932.19
213063.22333333333,5,114238.75
213063.22333333333,5,119971.85
213063.22333333333,5,120250.96
213063.22333333333,5,121617.4
213063.22333333333,5,122721.4
213063.22333333333,5,124405.04
213063.22333333333,5,127970.37
213063.22333333333,5,279270.87
213063.22333333333,5,280288.04
213063.22333333333,5,280418.3
213063.22333333333,5,419718.84
213063.22333333333,5,445886.86
170333.63416666666,6,88741.81
170333.63416666666,6,96649.29
170333.63416666666,6,96792.37
170333.63416666666,6,97837.28
170333.63416666666,6,98315.84
170333.63416666666,6,104289.12
170333.63416666666,6,105844.93
170333.63416666666,6,222497.63
170333.63416666666,6,224444.44
170333.63416666666,6,228486.32
170333.63416666666,6,327050.97
170333.63416666666,6,353053.61
213055.62416666668,7,113058.72
213055.62416666668,7,119757.13
213055.62416666668,7,121869.23
213055.62416666668,7,122473.93
213055.62416666668,7,124660.4
213055.62416666668,7,125096.56
213055.62416666668,7,130922.36
213055.62416666668,7,273755.29
213055.62416666668,7,282966.12
213055.62416666668,7,291382.37
213055.62416666668,7,411560.18
213055.62416666668,7,439165.2
200450.52333333335,8,104209.38
200450.52333333335,8,113469.22
200450.52333333335,8,115154.01
200450.52333333335,8,115857.54
200450.52333333335,8,119658.24
200450.52333333335,8,120371.35
200450.52333333335,8,123254.03
200450.52333333335,8,262055.64
200450.52333333335,8,266786.15
200450.52333333335,8,272528.48
200450.52333333335,8,386684.15
200450.52333333335,8,405378.09
240042.6825,9,126213.63
240042.6825,9,135574.48
240042.6825,9,138903.51
240042.6825,9,141124.33
