b_city,b_street_name,b_street_number,b_zip,c_city,c_street_name,c_street_number,c_zip,cnt,cnt2,cs1_year,cs2_year,product_name,s11,s12,s21,s22,s31,s32,store_name,store_zip
Shiloh,Spring ,797,49275,Five Forks,,,52293,1,1,2000,2001,antiablen steingable,78.78,68.77,130.77,107.28,1750.9,0.0,able,31933
Shiloh,Spring ,797,49275,Five Forks,,,52293,1,1,2000,2001,antiablen steingable,78.78,83.28,130.77,125.75,1750.9,0.0,able,31933
Woodland,Ash Main,647,74854,Georgetown,College ,58,47057,1,1,2000,2001,antiablen steingable,82.14,94.3,121.56,128.24,0.0,1569.48,able,61933
Bridgeport,4th ,123,35817,Pleasant Valley,7th ,970,62477,1,1,2000,2001,antiablen steingable,59.26,73.79,110.81,126.18,0.0,0.0,bar,43451
Mount Pleasant,Hill 1st,447,71933,Springdale,12th Oak,67,38883,1,1,2000,2001,antiablen steingable,78.7,96.61,106.24,181.62,0.0,5614.2,eing,30059
Silver Springs,Jefferson Sunset,655,24843,Shiloh,Fourth ,703,69275,1,1,2000,2001,antiablen steingable,97.04,7.42,117.41,12.91,3373.15,0.0,eing,71933
Silver Springs,Jefferson Sunset,655,24843,Shiloh,Fourth ,703,69275,1,1,2000,2001,antiablen steingable,97.04,77.66,117.41,114.93,3373.15,0.0,eing,71933
Oakdale,Spring Oak,609,79584,Concord,Wilson ,774,54107,1,1,2000,2001,antiablen steingable,64.11,8.36,98.08,10.95,0.0,0.0,ought,39431
Oakdale,Spring Oak,609,79584,Concord,Wilson ,774,54107,1,1,2000,2001,antiablen steingable,64.11,30.67,98.08,45.39,0.0,0.0,ought,39431
Deerfield,Fifth ,637,59840,Fairview,Franklin Second,361,06309,1,1,2000,2001,antiablen steingable,15.26,27.05,21.21,36.51,457.88,0.0,pri,39231
Ridgeville,Willow Park,247,89306,Clinton,Poplar ,483,78222,1,1,2000,2001,antiablepriableought,53.99,2.13,53.99,3.28,0.0,0.0,eing,48721
Ridgeville,Willow Park,247,89306,Clinton,Poplar ,483,78222,1,1,2000,2001,antiablepriableought,53.99,14.22,53.99,28.44,0.0,0.0,eing,48721
