brand,brand_id,ext_price,t_hour,t_minute
amalgunivamalg #7,1001001,,18,12
exportischolar #1,1001001,,17,29
importoamalg #2,1001001,,19,54
edu packexporti #2,1001001,,19,23
exportiimporto #2,1001001,,19,15
maxicorp #6,1001001,,8,16
exportischolar #1,1001001,,19,12
edu packscholar #2,1001001,,17,47
corpbrand #10,1001001,,17,26
amalgimporto #1,1002001,,17,7
importounivamalg #8,1002001,,19,41
edu packcorp #2,1002001,,19,24
edu packbrand #6,1002001,,18,10
amalgimporto #2,1003001,,18,38
importoedu pack #2,1003001,,8,37
edu packbrand #8,1003001,,17,29
exportiamalg #1,1003001,,18,22
univunivamalg #4,1003001,,17,26
maxicorp #7,1003001,,19,20
maxicorp #7,1003001,,18,8
maxibrand #7,1003002,,9,49
edu packamalg #1,1004001,,9,40
edu packamalg #1,1004001,,19,54
edu packimporto #2,1004001,,18,28
exportiamalg #1,1004001,,9,21
exportiimporto #2,1004001,,17,48
edu packexporti #1,1004001,,9,52
edu packamalg #1,1004001,,9,54
corpunivamalg #5,1004001,,9,42
edu packamalg #2,1004002,,8,32
amalgimporto #1,2001001,,19,16
amalgimporto #1,2001001,,18,2
exportiunivamalg #4,2001001,,17,14
amalgamalg #1,2001001,,9,16
corpbrand #7,2001001,,18,4
maxinameless #8,2001001,,19,24
edu packamalgamalg #16,2001001,,18,17
exportiimporto #2,2001001,,18,12
edu packedu pack #1,2001002,,9,38
amalgimporto #2,2001002,,18,52
edu packexporti #2,2002001,,19,19
edu packexporti #2,2002001,,17,49
edu packexporti #2,2002001,,17,15
edu packimporto #1,2002002,,8,11
amalgmaxi #7,2003001,,18,49
exportiimporto #1,2003001,,17,33
edu packamalg #1,2003001,,9,11
scholarbrand #4,2003001,,18,20
amalgimporto #2,2003001,,19,10
exportiimporto #2,2003002,,18,23
edu packamalg #1,2003002,,19,38
importoexporti #1,2003002,,17,12
importomaxi #10,2004001,,17,16
amalgimporto #1,2004001,,18,10
edu packimporto #2,2004002,,18,48
amalgexporti #1,3001001,,18,30
importoexporti #2,3001001,,19,17
edu packscholar #2,3001001,,19,47
amalgimporto #2,3002001,,17,56
importoexporti #1,3002001,,18,56
importoexporti #1,3002001,,17,54
namelessnameless #10,3002001,,18,46
scholarunivamalg #7,3002001,,17,11
exportiamalg #1,3002002,,17,58
amalgscholar #1,3002002,,9,16
exportiamalg #1,3002002,,18,57
univamalgamalg #6,3003001,,19,22
importoscholar #2,3003001,,17,28
exportiimporto #2,3003001,,18,9
exportinameless #4,3003001,,17,27
importoamalg #1,3003002,,19,23
exportimaxi #4,3004001,,9,34
edu packimporto #2,3004001,,19,24
scholarbrand #4,3004001,,19,23
edu packscholar #1,3004001,,17,59
amalgexporti #1,3004002,,18,42
edu packbrand #1,3004002,,9,22
corpbrand #3,3004002,,9,42
amalgimporto #2,4001001,,17,39
amalgedu pack #2,4001002,,17,41
univbrand #8,4002001,,17,47
corpunivamalg #15,4002001,,9,22
importoedu pack #1,4002001,,17,54
importoedu pack #1,4002001,,18,53
exporticorp #1,4002001,,17,21
importonameless #2,4002001,,17,27
importonameless #2,4002001,,8,26
exportiamalgamalg #5,4002001,,8,34
amalgexporti #2,4002001,,18,41
importoedu pack #2,4003001,,17,37
amalgscholar #2,4003001,,9,39
edu packunivamalg #11,4003001,,17,42
edu packedu pack #1,4003001,,7,43
maxicorp #6,4003001,,9,3
edu packbrand #2,4003001,,19,6
amalgunivamalg #2,4003001,,17,10
amalgedu pack #2,4003001,,19,17
amalgunivamalg #1,4004001,,18,27
exportiexporti #2,4004001,,19,26
exportiamalg #1,4004002,,18,35
importoscholar #1,4004002,,8,54
amalgimporto #2,5001001,,9,32
importoamalg #2,5001001,,9,52
amalgscholar #1,5001001,,18,7
edu packamalg #2,5001001,,9,33
importoimporto #2,5001001,,17,46
edu packimporto #1,5001001,,8,52
importoimporto #2,5001001,,9,19
corpnameless #6,5001001,,17,58
amalgamalg #1,5001002,,8,31
amalgamalg #1,5001002,,9,5
amalgamalg #1,5001002,,17,1
edu packscholar #1,5001002,,9,54
importoedu pack #1,5002001,,17,16
amalgimporto #2,5002001,,19,7
amalgimporto #2,5002001,,18,5
scholarbrand #7,5002001,,8,17
corpunivamalg #12,5002001,,17,18
