d_week_seq,i_item_desc,no_promo,promo,total_cnt,w_warehouse_name
5319,,0,9,9,Long areas expect 
5306,,0,9,9,Today safe co
5302,,0,8,8,About slight way
5318,,0,8,8,Full cards mi
5307,,0,8,8,"Good, comprehens"
5310,,0,8,8,"Good, comprehens"
5318,,0,8,8,"Good, comprehens"
5322,,0,8,8,Long areas expect 
5317,,0,8,8,"Male, recent towns"
5307,,0,8,8,Odd arts will wonde
5308,,0,7,7,Both obvious tic
5312,,0,7,7,Both obvious tic
5320,,0,7,7,Both obvious tic
5317,,0,7,7,Full cards mi
5319,,0,7,7,"Good, comprehens"
5315,,0,7,7,Odd arts will wonde
5318,,0,7,7,Odd arts will wonde
5316,"Far angry authorities take readily economic, local packages. Great bodies f",0,6,6,"Important, careful"
5306,,0,6,6,Both obvious tic
5308,,0,6,6,Especially oversea
5318,,0,6,6,Famous skills enact.
5322,,0,6,6,Famous skills enact.
5306,,0,6,6,Full cards mi
5311,,0,6,6,"Important, careful"
5314,,0,6,6,"Important, careful"
5319,,0,6,6,"Important, careful"
5307,,0,6,6,"Male, recent towns"
5309,,0,6,6,"Male, recent towns"
5314,,0,6,6,"Male, recent towns"
5322,,0,6,6,"Male, recent towns"
5319,,0,6,6,Modestly diff
5275,,0,6,6,Normal facili
5315,,0,6,6,Only soluti
5316,,0,6,6,Only soluti
5320,,0,6,6,Only soluti
5320,,0,6,6,Today safe co
5321,,0,6,6,Today safe co
5317,"Blue, maximum passengers could not happen clearly interests. Astoni",0,5,5,About slight way
5303,Courts use swi,0,5,5,Odd arts will wonde
5318,Di,0,5,5,Normal facili
5322,E,0,5,5,About slight way
5316,Electrical police could prepare normally. Feet may procure well thousands; normally male,0,5,5,Long areas expect 
5316,Electrical police could prepare normally. Feet may procure well thousands; normally male,0,5,5,Odd arts will wonde
5320,Excitedly interested facilities would matter rough parents; lights used t,0,5,5,"Important, careful"
5320,Excitedly interested facilities would matter rough parents; lights used t,0,5,5,Together current liv
5322,"Famous structures feed. Open, successful days must agree lives. Individuals keep. R",0,5,5,"Important, careful"
5322,"Famous structures feed. Open, successful days must agree lives. Individuals keep. R",0,5,5,Normal facili
5319,"High, classical miles shall not help national applications. Living ",0,5,5,About slight way
5303,"Horses could not pay particularly; happy premises used to watch later. Finally significant winners would cause poor, clear others. Institutions praise inappropriate, economic int",0,5,5,Famous skills enact.
5316,Items create exactly essential charges. However soft products collapse changes. Times keep on a relationships. Less clear doc,0,5,5,About slight way
5315,Na,0,5,5,Together current liv
5315,"Various features used to put on a prices. Right peaceful pounds organise major years. Occasions collect tiny, old degrees. Boundaries give so. New laws hesitate ",0,5,5,"Male, recent towns"
5316,"Very internal police ensure here fast acts. Determined places used to prevent instead glad roles. Stupid, interesting employees must forget all ot",0,5,5,Both obvious tic
5312,,0,5,5,About slight way
5315,,0,5,5,About slight way
5319,,0,5,5,About slight way
5321,,0,5,5,About slight way
5309,,0,5,5,Both obvious tic
5319,,0,5,5,Both obvious tic
5321,,0,5,5,Both obvious tic
5314,,0,5,5,Especially oversea
5315,,0,5,5,Especially oversea
5320,,0,5,5,Famous skills enact.
5310,,0,5,5,Full cards mi
5315,,0,5,5,Full cards mi
5310,,0,5,5,"Important, careful"
5316,,0,5,5,"Important, careful"
5318,,0,5,5,"Important, careful"
5304,,0,5,5,Long areas expect 
5309,,0,5,5,Long areas expect 
5318,,0,5,5,Long areas expect 
5318,,0,5,5,"Male, recent towns"
5319,,0,5,5,"Male, recent towns"
5304,,0,5,5,Modestly diff
5314,,0,5,5,Modestly diff
5316,,0,5,5,Modestly diff
5322,,0,5,5,Modestly diff
5316,,0,5,5,Normal facili
5318,,0,5,5,Normal facili
5300,,0,5,5,Odd arts will wonde
5309,,0,5,5,Odd arts will wonde
5312,,0,5,5,Odd arts will wonde
5317,,0,5,5,Odd arts will wonde
5320,,0,5,5,Odd arts will wonde
5306,,0,5,5,Only soluti
5319,,0,5,5,Only soluti
5322,,0,5,5,Only soluti
5316,,0,5,5,Today safe co
5274,,0,5,5,Together current liv
5295,,0,5,5,Together current liv
5315,,0,5,5,Together current liv
5319,,0,5,5,Together current liv
5320,"Actually certain colonies ought to feel new generations. Again social institutions may not fight silly, leading sounds. So golden types should",0,4,4,"Male, recent towns"
5321,"Afraid, great years might enable as a girls. Really present services shall use in a pictures. Everyday months might make members. Black features show extremely as physical schemes. Warm resources wou",0,4,4,Especially oversea
5314,Al,0,4,4,Modestly diff
5317,"Already tropical units cannot take however. Ideally united leaders used to impose current bonds. Outside, stran",0,4,4,Famous skills enact.
5322,"Alternative, long years will not listen widely to a conditions; european, total months stay better particular, certain items. Foreign, financial societies used to drain drivers. P",0,4,4,Together current liv
5314,"Artistic minutes must not represent. Hospitals might weaken on a years. Long risks should remind popularly. Effective, major images alter therefore initial actions. Great yards meet also internal ",0,4,4,Famous skills enact.
5318,"As important months must adjust domestic factors. Various doubts go as in a others. Physical, english problems shall send from a proposals. Mental critic",0,4,4,Especially oversea
5319,"Bad vehicles develop therefore radical funds. Well good schools touch even in a rooms. Scientific, big changes worsen as main groups. Items writ",0,4,4,Together current liv
