curr_yr_cnt,i_brand_id,i_category_id,i_class_id,i_manufact_id,prev_year,prev_yr_cnt,sales_amt_diff,sales_cnt_diff,year
42745.0,10002001,10,2,78,2001,94331.0,-2341343.87,-51586.0,2002
86661.0,3002001,10,2,115,2001,138036.0,-2493144.19,-51375.0,2002
43324.0,10013003,10,13,13,2001,93863.0,-2067799.1,-50539.0,2002
41877.0,2003001,10,3,154,2001,91703.0,-2246901.99,-49826.0,2002
42848.0,4004001,10,4,122,2001,92386.0,-2092947.51,-49538.0,2002
43271.0,10013004,10,13,139,2001,92633.0,-2140582.34,-49362.0,2002
45891.0,5002001,10,2,516,2001,94991.0,-2203371.0,-49100.0,2002
44302.0,3002001,10,5,149,2001,93006.0,-2230799.75,-48704.0,2002
40498.0,10006016,10,6,88,2001,88986.0,-2155802.52,-48488.0,2002
44757.0,10012006,10,12,170,2001,92992.0,-2237738.22,-48235.0,2002
42976.0,10001004,10,1,457,2001,91181.0,-2262349.87,-48205.0,2002
45156.0,3001001,10,5,518,2001,93242.0,-2125332.2,-48086.0,2002
43281.0,10007014,10,7,100,2001,91201.0,-2054791.09,-47920.0,2002
42396.0,10005010,10,5,285,2001,89806.0,-2026204.79,-47410.0,2002
45193.0,7009003,10,9,284,2001,92576.0,-2068668.75,-47383.0,2002
44542.0,10016004,10,16,36,2001,91370.0,-2034548.43,-46828.0,2002
44122.0,1004001,10,4,130,2001,90791.0,-2129655.81,-46669.0,2002
45486.0,10002006,10,2,49,2001,91729.0,-2070292.24,-46243.0,2002
46314.0,10010012,10,10,235,2001,92525.0,-2069689.77,-46211.0,2002
46254.0,10016003,10,16,309,2001,91232.0,-1989209.23,-44978.0,2002
46834.0,10005001,10,5,233,2001,91755.0,-1893760.01,-44921.0,2002
45870.0,3004001,10,4,481,2001,90752.0,-1894920.27,-44882.0,2002
45041.0,10002003,10,2,122,2001,89861.0,-1891255.08,-44820.0,2002
44658.0,1001001,10,1,199,2001,89310.0,-1966266.31,-44652.0,2002
43413.0,2004001,10,4,461,2001,87652.0,-2142744.7,-44239.0,2002
45746.0,10014002,10,14,553,2001,89766.0,-1807934.73,-44020.0,2002
46571.0,10013007,10,13,268,2001,90277.0,-1891568.16,-43706.0,2002
46098.0,10006009,10,6,49,2001,89631.0,-2046763.14,-43533.0,2002
48228.0,2001001,10,1,101,2001,91466.0,-1813977.48,-43238.0,2002
43971.0,10009008,10,9,555,2001,86906.0,-1749759.51,-42935.0,2002
46007.0,10013011,10,13,358,2001,88752.0,-1748894.12,-42745.0,2002
47791.0,10013014,10,13,546,2001,90518.0,-1669154.48,-42727.0,2002
45417.0,2003001,10,3,22,2001,88104.0,-1948088.06,-42687.0,2002
45771.0,10002014,10,2,400,2001,88275.0,-1814532.03,-42504.0,2002
44140.0,4004001,10,4,173,2001,86620.0,-1904920.07,-42480.0,2002
44301.0,10014012,10,13,249,2001,86707.0,-1716042.53,-42406.0,2002
44229.0,1004001,10,4,112,2001,86146.0,-1972816.21,-41917.0,2002
48399.0,10005009,10,5,154,2001,89964.0,-2033043.05,-41565.0,2002
46409.0,10010003,10,10,76,2001,87125.0,-1716462.22,-40716.0,2002
49644.0,10012008,10,12,466,2001,87278.0,-1545374.42,-37634.0,2002
39919.0,10016007,10,16,5,2001,48163.0,-284411.17,-8244.0,2002
42457.0,10013003,10,13,332,2001,50174.0,-293824.68,-7717.0,2002
39092.0,10015004,10,15,145,2001,46613.0,-314299.78,-7521.0,2002
41188.0,10004010,10,1,164,2001,48678.0,-428078.72,-7490.0,2002
41248.0,10016005,10,16,655,2001,48560.0,-278306.29,-7312.0,2002
41146.0,10009015,10,9,286,2001,48457.0,-242077.28,-7311.0,2002
41540.0,10007001,10,7,9,2001,48834.0,-366091.16,-7294.0,2002
39135.0,10016007,10,16,320,2001,46250.0,-222776.28,-7115.0,2002
43681.0,10006008,10,6,97,2001,50757.0,-98977.09,-7076.0,2002
42234.0,10006013,10,6,544,2001,49297.0,-327714.76,-7063.0,2002
42659.0,10008011,10,8,108,2001,49628.0,-271888.17,-6969.0,2002
41183.0,10016012,10,3,225,2001,48058.0,-246402.87,-6875.0,2002
40102.0,10007006,10,7,375,2001,46933.0,-363947.38,-6831.0,2002
40910.0,3003001,10,3,420,2001,47734.0,-159201.66,-6824.0,2002
41607.0,10014004,10,14,637,2001,48377.0,-218976.89,-6770.0,2002
43408.0,10011011,10,11,549,2001,50145.0,-249000.89,-6737.0,2002
44368.0,10002012,10,2,424,2001,51075.0,-317423.69,-6707.0,2002
42227.0,7007005,10,3,601,2001,48913.0,-389095.98,-6686.0,2002
42133.0,10005009,10,5,707,2001,48812.0,-277322.07,-6679.0,2002
41702.0,10005015,10,5,907,2001,48266.0,-443028.67,-6564.0,2002
41627.0,10001001,10,1,253,2001,48136.0,-407063.7,-6509.0,2002
43489.0,6001001,10,1,657,2001,49995.0,-229097.84,-6506.0,2002
43121.0,10008008,10,8,553,2001,49557.0,-318151.47,-6436.0,2002
40927.0,10010011,10,10,382,2001,47337.0,-277190.68,-6410.0,2002
41623.0,3001001,10,1,40,2001,47976.0,-372866.35,-6353.0,2002
42395.0,10003001,10,3,112,2001,48635.0,-269375.25,-6240.0,2002
43392.0,10004003,10,4,340,2001,49612.0,-377585.76,-6220.0,2002
