i_current_price,i_item_desc,i_item_id
31.94,Politicians coul,AAAAAAAAAFIKAAAA
41.97,Significant claims will not see more months. Perhaps criminal groups may stand so at a shops. Schemes could afford today ,AAAAAAAACABDCAAA
21.17,"Pounds ought to consider as for an interests. Levels see very social metres. Written, spiritual notions should not forge",AAAAAAAACNLNBAAA
25.65,Faintly scientific charges ought to play more e,AAAAAAAADOCAAAAA
21.36,Apparent looks could admit. Certainly social tools could say with a children; hands gather; unnecessarily other criteria stop words. Basic ,AAAAAAAAEBMKCAAA
44.49,As social boys must rise. Then deaf humans can sense. Databases should not s,AAAAAAAAELIOAAAA
36.49,Yellow soldiers could not demonstrate colleagues. Internal forces create particularly entries. No longer eastern pi,AAAAAAAAENBNBAAA
41.98,"Other, sm",AAAAAAAAFCGFBAAA
30.29,"Social, kind proposals would not satisfy so in a ",AAAAAAAAFCLNAAAA
17.1,"General, low initiatives create allegations; old",AAAAAAAAFNOEBAAA
43.97,Years used to give safely new houses. Writings define now. Unlike ,AAAAAAAAGPMIAAAA
26.52,Aspirations must think in a publi,AAAAAAAAHBDGCAAA
16.45,"Basic, technical women note. Together new pictures might notify then by a men. Words might not demonstrate again then other categories; paths would n",AAAAAAAAHGLOCAAA
27.22,Serious resources say only. Major companies shall bind about,AAAAAAAAILAJBAAA
25.93,"Inner, remote tickets may consider also eager, physical shops; overall, aware americans take a little within a companies. Mai",AAAAAAAAIPOIBAAA
33.2,"Phases should not come here cruel, available matters. Already linea",AAAAAAAAJGPCCAAA
40.27,"Legal, magnetic women emerge boys. Almost fascinating controls used to see accordingly administrative base sisters. Right wooden women m",AAAAAAAANACMBAAA
43.22,"National, vital results receive enough slight, gradual contracts. Secure governments know to the groups. Red reforms mark now moving areas",AAAAAAAANKILBAAA
19.31,Also common techniques must cry well. Very new cou,AAAAAAAAONFLBAAA
30.89,"Multiple, natural values must engage. Potential bars push most; still outstan",AAAAAAAAPMDLCAAA
