ca_zip,sum
30001,44178.99
30008,47661.27
30026,45743.21
30029,2468.14
30049,1355.48
30056,1536.29
30059,879279.39
30068,1486.01
30069,955515.33
30116,41774.14
30125,60230.26
30128,1356.56
30141,46356.55
30149,3102.4
30150,871777.38
30156,4761.52
30162,882614.5
30164,43341.12
30169,906150.33
30191,894260.79
30194,42340.16
30204,2337.6
30216,43445.59
30224,2744.53
30238,165.3
30245,654.85
30262,48398.8
30268,44851.05
30275,1629.36
30278,419.55
30296,46147.08
30297,605.4
30302,45112.57
30307,481.6
30309,46530.22
30311,1684.58
30317,1448.11
30319,43507.44
30320,4375.46
30323,1897.1
30330,1418.91
30336,2857.2
30344,45422.05
30348,293.97
30369,36833.85
30381,2332.09
30382,4518.78
30383,3385.62
30386,1278.72
30399,861425.89
30407,170.9
30408,24558.53
30411,952026.41
30414,1066.55
30418,53311.05
30419,49287.01
30428,2664.07
30444,2626.45
30445,4925.88
30451,38524.02
30468,567.67
30481,2748.94
30485,785.75
30492,52968.12
30499,895579.81
30514,2433.35
30519,45920.57
30522,439.27
30525,38465.11
30526,1452.5
30534,863424.14
30540,52201.3
30573,39511.79
30580,2663.6
30584,1316.92
30586,2091.07
30587,852804.0
30589,33671.99
30613,1160.49
30618,50604.33
30631,39733.17
30634,36277.24
30635,41706.37
30647,292.74
30662,1363.6
30663,4401.37
30679,1354.63
30681,325.82
30689,1415.08
30702,679.24
30725,35463.79
30728,2624.52
30732,51834.28
30744,53161.47
30757,2899.86
30765,508.93
30766,47296.98
30817,2276.86
30844,650.36
30851,2382.45
