d_week_seq1,rnd1,rnd2,rnd3,rnd4,rnd5,rnd6,rnd7
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5270,3.46,1.83,1.88,1.59,3.45,3.43,3.45
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5271,1.0,1.01,1.0,1.0,1.0,1.0,1.01
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
5272,1.0,1.01,1.0,1.0,1.0,1.0,1.0
