i_manufact_id,total_sales
936,6938437.35
668,7048539.53
675,7114127.65
811,7125241.26
917,7307685.0
1000,7356082.71
734,7495383.45
980,7576036.74
935,7725002.17
844,8071071.09
849,8109134.56
988,8185588.63
999,8213117.12
888,8240902.12
693,8279776.67
882,8305517.31
691,8319525.24
702,8370755.93
816,8389053.43
803,8433090.92
824,8437381.0
671,8448916.8
809,8457249.5
856,8482689.69
820,8500261.38
899,8562498.65
873,8564296.6
839,8570403.78
763,8606422.19
998,8652899.89
716,8692368.34
762,8694014.13
814,8723993.42
821,8734173.73
720,8762707.13
749,8773469.3
770,8773762.92
973,8838157.49
740,8853564.43
669,8899749.53
912,8910238.92
995,8951575.52
833,8968395.54
750,8985749.95
827,9112742.34
673,9146405.45
826,9147459.3
752,9154793.88
953,9186267.68
847,9186897.6
866,9190335.77
674,9196766.36
986,9234439.89
838,9251914.54
700,9257210.14
906,9266696.79
706,9269999.71
925,9272111.83
857,9288034.46
708,9294628.48
962,9325987.34
679,9373058.35
768,9376456.99
725,9392930.1
928,9393568.01
914,9404256.6
979,9409508.99
992,9418869.71
784,9437415.6
785,9454503.2
804,9488088.45
993,9492237.97
748,9497435.3
904,9552595.92
938,9576976.25
707,9614998.45
884,9627925.47
682,9629979.92
688,9636185.12
920,9641673.16
736,9646282.92
705,9651347.49
721,9653986.12
680,9655886.65
843,9677813.6
969,9689945.24
894,9696313.4
731,9721125.19
689,9725470.16
970,9776127.6
789,9779833.02
759,9789812.13
880,9796333.89
852,9796745.95
667,9803794.63
907,9857500.5
690,9857673.66
940,9879376.94
738,9883952.42
687,9890882.91
