d_date,item_sk,store_cumulative,store_sales,web_cumulative,web_sales
1998-01-02,7,165.2,165.2,165.66,165.66
1998-01-02,14,52.24,52.24,126.44,126.44
1998-01-05,16,494.24,494.24,670.87,670.87
1998-01-06,16,633.08,633.08,710.64,710.64
1998-01-02,22,34.99,34.99,64.19,64.19
1998-01-02,25,70.46,70.46,89.92,89.92
1998-01-02,50,7.7,7.7,108.78,108.78
1998-01-03,50,117.68,117.68,266.96,266.96
1998-01-04,50,257.0,257.0,374.83,374.83
1998-01-02,100,211.65,211.65,223.69,223.69
1998-01-02,110,62.77,62.77,184.88,184.88
1998-01-03,110,190.08,190.08,215.25,215.25
1998-01-04,110,221.52,221.52,390.57,390.57
1998-01-03,136,180.56,180.56,223.28,223.28
1998-01-04,136,309.56,309.56,388.79,388.79
1998-01-05,136,447.31,447.31,458.73,458.73
1998-01-06,136,554.58,554.58,623.26,623.26
1998-01-05,157,545.16,545.16,648.86,648.86
1998-01-02,160,131.44,131.44,382.51,382.51
1998-01-03,160,302.41,302.41,493.67,493.67
1998-01-02,166,109.9,109.9,218.18,218.18
1998-01-02,176,89.73,89.73,139.08,139.08
1998-01-02,190,124.95,124.95,182.48,182.48
1998-01-02,193,14.23,14.23,26.67,26.67
1998-01-03,193,313.8,313.8,365.5,365.5
1998-01-05,193,446.72,446.72,455.6,455.6
1998-01-02,200,145.05,145.05,218.72,218.72
1998-01-03,200,184.57,184.57,218.72,
1998-01-04,200,344.05,344.05,430.62,430.62
1998-01-05,200,344.13,344.13,666.44,666.44
1998-01-06,200,625.55,625.55,764.87,764.87
1998-01-03,217,218.53,218.53,300.86,300.86
1998-01-06,217,688.0,688.0,847.13,847.13
1998-01-07,217,837.74,837.74,950.83,950.83
1998-01-03,250,312.76,312.76,346.49,346.49
1998-01-02,265,92.76,92.76,364.88,364.88
1998-01-03,265,287.16,287.16,488.07,488.07
1998-01-04,274,484.27,484.27,651.99,651.99
1998-01-03,283,307.17,307.17,351.17,351.17
1998-01-02,289,80.55,80.55,169.84,169.84
1998-01-03,289,237.33,237.33,355.91,355.91
1998-01-02,292,161.99,161.99,230.5,230.5
1998-01-04,302,160.54,160.54,292.68,292.68
1998-01-03,304,103.35,103.35,122.84,
1998-01-03,307,216.27,216.27,425.58,425.58
1998-01-04,307,326.44,326.44,514.66,514.66
1998-01-05,307,374.83,374.83,514.66,
1998-01-02,310,174.11,174.11,216.14,216.14
1998-01-03,310,257.87,257.87,289.17,289.17
1998-01-04,310,323.45,323.45,429.01,429.01
1998-01-05,310,442.17,442.17,575.38,575.38
1998-01-06,310,521.54,521.54,598.24,598.24
1998-01-03,314,377.2,377.2,432.16,432.16
1998-01-05,314,599.8,599.8,699.3,699.3
1998-01-02,316,18.13,18.13,40.62,40.62
1998-01-02,337,71.19,71.19,82.23,82.23
1998-01-02,352,96.75,96.75,119.25,119.25
1998-01-02,376,191.01,191.01,267.45,267.45
1998-01-03,379,190.25,190.25,374.56,374.56
1998-01-04,379,516.98,516.98,527.92,527.92
1998-01-02,415,145.0,145.0,225.8,225.8
1998-01-03,415,222.94,222.94,470.49,470.49
1998-01-02,421,123.75,123.75,254.1,254.1
1998-01-03,421,235.46,235.46,254.1,
1998-01-02,439,204.85,204.85,253.08,253.08
1998-01-03,439,251.95,251.95,293.66,293.66
1998-01-02,454,76.32,76.32,197.92,197.92
1998-01-05,460,610.74,610.74,621.07,621.07
1998-01-02,487,71.93,71.93,75.39,75.39
1998-01-02,490,170.17,170.17,333.66,333.66
1998-01-03,490,254.85,254.85,333.66,
1998-01-04,490,433.92,433.92,447.51,447.51
1998-01-02,494,100.94,100.94,183.45,183.45
1998-01-04,499,549.61,549.61,687.18,687.18
1998-01-05,499,549.61,,743.67,743.67
1998-01-06,499,778.31,778.31,848.03,848.03
1998-01-07,499,912.41,912.41,928.29,928.29
1998-01-02,505,111.78,111.78,182.73,182.73
1998-01-02,523,297.73,297.73,336.94,336.94
1998-01-02,535,181.38,181.38,225.79,225.79
1998-01-02,538,131.74,131.74,172.05,172.05
1998-01-04,548,420.47,420.47,563.03,563.03
1998-01-07,548,1031.44,1031.44,1504.19,1504.19
1998-01-08,548,1281.09,1281.09,1532.69,1532.69
1998-01-09,548,1310.2,1310.2,1697.53,1697.53
1998-01-10,548,1359.71,1359.71,1710.39,1710.39
1998-01-02,553,205.97,205.97,262.99,262.99
1998-01-02,556,100.29,100.29,180.05,180.05
1998-01-03,566,195.43,195.43,203.89,203.89
1998-01-03,583,145.4,145.4,222.05,222.05
1998-01-02,601,171.68,171.68,248.0,248.0
1998-01-03,601,259.39,259.39,265.44,265.44
1998-01-02,607,216.37,216.37,288.17,288.17
1998-01-02,613,34.87,34.87,58.26,58.26
1998-01-02,631,65.34,65.34,142.39,142.39
1998-01-02,637,87.44,87.44,89.35,89.35
1998-01-02,646,65.11,65.11,203.32,203.32
1998-01-03,646,141.15,141.15,313.42,313.42
1998-01-02,655,84.11,84.11,102.22,102.22
1998-01-02,673,172.93,172.93,176.76,176.76
