num_customers,segment,segment_base
1,2687,134350
1,3747,187350
1,4001,200050
1,4157,207850
1,4309,215450
1,4458,222900
1,4825,241250
1,4853,242650
1,4954,247700
1,4983,249150
1,5087,254350
1,5404,270200
1,5459,272950
1,5518,275900
1,5527,276350
1,5702,285100
1,5913,295650
1,6018,300900
1,6240,312000
1,6327,316350
1,6430,321500
1,6440,322000
1,6510,325500
1,6575,328750
1,6650,332500
1,6743,337150
1,6808,340400
1,6809,340450
1,7357,367850
1,7397,369850
1,7517,375850
1,7611,380550
1,7636,381800
1,7742,387100
1,7839,391950
1,7858,392900
1,7941,397050
1,7992,399600
1,8072,403600
1,8093,404650
1,8096,404800
1,8104,405200
1,8105,405250
1,8200,410000
1,8282,414100
1,8414,420700
1,8507,425350
1,8551,427550
1,8556,427800
1,8640,432000
1,8715,435750
1,8906,445300
1,8936,446800
1,9113,455650
1,9134,456700
1,9189,459450
1,9338,466900
1,9351,467550
1,9366,468300
1,9465,473250
1,9476,473800
1,9501,475050
1,9518,475900
1,9615,480750
1,9621,481050
1,9744,487200
1,9780,489000
1,9869,493450
1,9871,493550
1,9947,497350
1,9954,497700
1,10054,502700
1,10068,503400
1,10131,506550
1,10170,508500
1,10323,516150
1,10354,517700
1,10368,518400
1,10379,518950
1,10442,522100
1,10506,525300
1,10538,526900
1,10846,542300
1,10987,549350
1,11015,550750
1,11056,552800
1,11175,558750
1,11224,561200
1,11254,562700
1,11284,564200
1,11317,565850
1,11319,565950
1,11387,569350
1,11445,572250
1,11571,578550
1,11621,581050
1,11723,586150
1,11779,588950
1,11813,590650
1,11855,592750
