avg_monthly_sales,cc_name,d_moy,d_year,i_brand,i_category,nsum,psum,sum_sales
1467263.675,NY Metro_3,2,2001,importoexporti #2,Children,843814.47,869448.93,767312.72
1476923.4983333333,North Midwest_2,2,2001,importoexporti #2,Children,837573.79,880525.96,777309.46
1470080.4191666667,Mid Atlantic_2,2,2001,importoexporti #2,Children,854602.94,864717.05,771999.31
1445554.3741666668,NY Metro_3,2,2001,amalgscholar #2,Music,816678.09,861871.09,750593.75
1470345.87,California_2,2,2001,importoexporti #2,Children,869469.02,879082.92,776400.25
1467178.8558333332,Mid Atlantic,2,2001,importoexporti #2,Children,844345.26,889176.88,773947.88
1470414.4108333334,Pacific Northwest,2,2001,importoexporti #2,Children,847396.81,864009.31,777188.86
1475535.7716666667,California,2,2001,importoexporti #2,Children,841531.65,868828.22,783336.61
1444017.785,Pacific Northwest,2,2001,importoedu pack #2,Shoes,831896.27,862105.85,751996.79
1469301.315,NY Metro,2,2001,importoexporti #2,Children,835232.77,877453.65,778791.6
1467232.2691666668,Hawaii/Alaska,2,2001,importoexporti #2,Children,823887.26,869289.67,777547.65
1451297.2825,NY Metro_3,2,2001,importoedu pack #2,Shoes,825424.76,860720.95,761760.58
1478511.5383333333,North Midwest_1,2,2001,importoexporti #2,Children,864631.28,866007.32,789628.14
1471077.5275,Hawaii/Alaska_2,2,2001,importoexporti #2,Children,848103.32,880027.43,782992.13
1477370.7841666667,NY Metro_1,2,2001,importoexporti #2,Children,848026.0,881115.14,789529.37
1470759.3275,Mid Atlantic_3,2,2001,importoexporti #2,Children,832091.22,867810.73,782946.9
1443460.7591666668,Mid Atlantic_1,2,2001,importoedu pack #2,Shoes,832188.27,842275.08,755868.29
1472204.7825,Pacific Northwest_1,2,2001,importoexporti #2,Children,853044.61,880903.82,784746.95
1479824.7825,NY Metro_2,2,2001,importoexporti #2,Children,838387.32,892123.62,792871.93
1439178.7591666668,North Midwest_3,2,2001,amalgimporto #2,Men,821491.09,859524.3,752312.47
1473491.0983333334,North Midwest_3,2,2001,importoexporti #2,Children,833129.15,873693.56,787336.13
1450269.3316666668,Hawaii/Alaska_2,2,2001,edu packamalg #2,Women,832501.2,869869.77,765730.82
1435229.4658333333,NY Metro_2,2,2001,exportiimporto #2,Men,818031.95,857108.08,752004.54
1437470.0258333334,Pacific Northwest_1,2,2001,exportiimporto #2,Men,837972.94,855721.17,754462.2
1432811.9108333334,North Midwest,2,2001,amalgimporto #2,Men,839515.52,843805.92,749926.41
1432897.3225,California_1,2,2001,exportiimporto #2,Men,816977.23,853561.11,751034.57
1447086.0758333334,North Midwest_2,2,2001,amalgscholar #2,Music,827887.88,870309.13,766345.74
1436314.3533333333,NY Metro_1,2,2001,exportiimporto #2,Men,812852.16,871095.72,755988.65
1454225.37,NY Metro_2,2,2001,amalgscholar #2,Music,835117.88,846432.83,774374.73
1446580.4391666667,North Midwest,2,2001,amalgscholar #2,Music,830778.72,864032.19,766735.62
1479209.0708333333,North Midwest,2,2001,importoexporti #2,Children,864089.13,880131.5,799584.72
1418901.7108333334,Mid Atlantic_3,2,2001,edu packimporto #2,Men,804358.31,824350.86,739356.03
1419958.4025,North Midwest_3,2,2001,exportiedu pack #2,Shoes,788342.68,856539.93,740416.69
1429811.8116666668,Pacific Northwest_2,2,2001,amalgexporti #2,Children,829089.75,833787.89,750368.14
1454327.5158333334,California_1,2,2001,edu packamalg #2,Women,818212.84,870152.26,774956.53
1470219.0325,Pacific Northwest_2,2,2001,importoexporti #2,Children,832698.74,863369.97,791138.91
1447630.8183333334,California,2,2001,amalgscholar #2,Music,830280.84,845536.75,769486.25
1439591.875,Pacific Northwest_1,2,2001,amalgscholar #2,Music,825259.29,847468.37,761890.34
1477005.6258333332,Mid Atlantic_1,2,2001,importoexporti #2,Children,838726.1,884230.91,799451.61
1418066.1308333334,NY Metro_1,2,2001,edu packexporti #2,Children,814722.04,845514.42,740521.33
