30 days,31-60,61-90,91-120,>120 days,sm_type,substr,web_name
36067,29749,24285,19866,0,EXPRESS,About slight way,site_0
35917,29811,24206,20175,0,EXPRESS,About slight way,site_1
36039,29806,24328,20117,0,EXPRESS,About slight way,site_2
36059,29653,24285,19885,0,EXPRESS,About slight way,site_3
36011,29529,24228,20187,0,EXPRESS,About slight way,site_4
36566,29629,24158,19965,0,EXPRESS,About slight way,site_5
36391,29600,23898,20070,0,EXPRESS,About slight way,site_6
36186,29506,24593,20047,0,EXPRESS,About slight way,site_7
35893,29906,24225,19928,0,EXPRESS,About slight way,site_8
27060,22047,18185,14961,0,LIBRARY,About slight way,site_0
27102,22114,18221,14850,0,LIBRARY,About slight way,site_1
27420,22147,18262,14924,0,LIBRARY,About slight way,site_2
27321,22161,18367,14610,0,LIBRARY,About slight way,site_3
27368,22201,18345,15034,0,LIBRARY,About slight way,site_4
27104,22129,18291,15062,0,LIBRARY,About slight way,site_5
27203,22223,18315,14863,0,LIBRARY,About slight way,site_6
27318,22209,18210,14832,0,LIBRARY,About slight way,site_7
27296,22319,18344,14906,0,LIBRARY,About slight way,site_8
36032,29707,24111,20056,0,NEXT DAY,About slight way,site_0
36035,30103,24340,19798,0,NEXT DAY,About slight way,site_1
36222,29550,24150,20081,0,NEXT DAY,About slight way,site_2
35929,29917,24343,19808,0,NEXT DAY,About slight way,site_3
35773,29884,24165,20045,0,NEXT DAY,About slight way,site_4
36017,29888,24389,20079,0,NEXT DAY,About slight way,site_5
36189,29670,23988,20075,0,NEXT DAY,About slight way,site_6
36024,29710,24345,20056,0,NEXT DAY,About slight way,site_7
35694,29815,24148,19724,0,NEXT DAY,About slight way,site_8
27178,22010,18302,15014,0,OVERNIGHT,About slight way,site_0
27194,22311,18224,14744,0,OVERNIGHT,About slight way,site_1
27148,21843,18123,14894,0,OVERNIGHT,About slight way,site_2
27253,22372,18193,15063,0,OVERNIGHT,About slight way,site_3
26980,22066,18132,14834,0,OVERNIGHT,About slight way,site_4
27007,22120,18189,14977,0,OVERNIGHT,About slight way,site_5
27095,22085,18103,14906,0,OVERNIGHT,About slight way,site_6
26994,22061,18294,15025,0,OVERNIGHT,About slight way,site_7
26967,22104,18263,15018,0,OVERNIGHT,About slight way,site_8
27375,22097,18124,14813,0,REGULAR,About slight way,site_0
26984,22430,18294,14789,0,REGULAR,About slight way,site_1
27306,22022,18264,14902,0,REGULAR,About slight way,site_2
27354,22008,18371,14959,0,REGULAR,About slight way,site_3
27640,22067,18337,14999,0,REGULAR,About slight way,site_4
27195,22102,18404,14989,0,REGULAR,About slight way,site_5
27219,22446,18228,14866,0,REGULAR,About slight way,site_6
27235,21926,18310,14937,0,REGULAR,About slight way,site_7
27160,22155,18484,14834,0,REGULAR,About slight way,site_8
27273,22327,18380,15009,0,TWO DAY,About slight way,site_0
27049,22442,18425,15051,0,TWO DAY,About slight way,site_1
27304,22011,18168,14975,0,TWO DAY,About slight way,site_2
27050,22012,18181,14848,0,TWO DAY,About slight way,site_3
27217,22172,18226,15003,0,TWO DAY,About slight way,site_4
27318,22289,18234,14751,0,TWO DAY,About slight way,site_5
27084,22222,18042,14744,0,TWO DAY,About slight way,site_6
27048,21830,18408,14843,0,TWO DAY,About slight way,site_7
27021,22077,18109,14765,0,TWO DAY,About slight way,site_8
35915,29498,24305,19614,0,EXPRESS,Both obvious tic,site_0
36235,29658,24349,19926,0,EXPRESS,Both obvious tic,site_1
36126,29364,24320,19891,0,EXPRESS,Both obvious tic,site_2
36398,29363,24231,20015,0,EXPRESS,Both obvious tic,site_3
36067,29602,24242,20044,0,EXPRESS,Both obvious tic,site_4
35932,29458,24516,19792,0,EXPRESS,Both obvious tic,site_5
36129,29509,24157,19977,0,EXPRESS,Both obvious tic,site_6
36080,29377,24448,20020,0,EXPRESS,Both obvious tic,site_7
36352,29457,24352,19840,0,EXPRESS,Both obvious tic,site_8
27363,22360,18233,15029,0,LIBRARY,Both obvious tic,site_0
27164,22078,18155,15066,0,LIBRARY,Both obvious tic,site_1
26917,22469,18081,15007,0,LIBRARY,Both obvious tic,site_2
27373,22093,18234,14647,0,LIBRARY,Both obvious tic,site_3
27031,22651,18219,15015,0,LIBRARY,Both obvious tic,site_4
26889,22165,18122,14914,0,LIBRARY,Both obvious tic,site_5
27224,22388,18242,14978,0,LIBRARY,Both obvious tic,site_6
26917,22260,17985,15088,0,LIBRARY,Both obvious tic,site_7
26778,22426,18201,14992,0,LIBRARY,Both obvious tic,site_8
36481,29344,24442,19934,0,NEXT DAY,Both obvious tic,site_0
36234,29303,24299,19708,0,NEXT DAY,Both obvious tic,site_1
36381,29602,24607,19933,0,NEXT DAY,Both obvious tic,site_2
36060,29787,24260,19989,0,NEXT DAY,Both obvious tic,site_3
36431,29349,24348,19809,0,NEXT DAY,Both obvious tic,site_4
36344,29765,24505,19715,0,NEXT DAY,Both obvious tic,site_5
36344,29391,24072,19994,0,NEXT DAY,Both obvious tic,site_6
36261,29297,24130,20084,0,NEXT DAY,Both obvious tic,site_7
