apr_net,apr_sales,apr_sales_per_sq_foot,aug_net,aug_sales,aug_sales_per_sq_foot,dec_net,dec_sales,dec_sales_per_sq_foot,feb_net,feb_sales,feb_sales_per_sq_foot,jan_net,jan_sales,jan_sales_per_sq_foot,jul_net,jul_sales,jul_sales_per_sq_foot,jun_net,jun_sales,jun_sales_per_sq_foot,mar_net,mar_sales,mar_sales_per_sq_foot,may_net,may_sales,may_sales_per_sq_foot,nov_net,nov_sales,nov_sales_per_sq_foot,oct_net,oct_sales,oct_sales_per_sq_foot,sep_net,sep_sales,sep_sales_per_sq_foot,ship_carriers,w_city,w_country,w_county,w_state,w_warehouse_name,w_warehouse_sq_ft,year
5345204030.96,3714504805.4,7617.371985251294,12484881630.8,8662669090.77,17764.6217481277,19170376029.13,13296214400.75,27266.67924589243,5052717850.79,3492670403.28,7162.453968287821,5754038506.83,3967168354.88,8135.5116416343335,5663949920.25,3927621160.96,8054.411817339163,5440286685.14,3777653831.66,7746.872322100911,5362330179.28,3706104119.63,7600.144615307319,5538469050.78,3827560660.44,7849.2167527418,18264288407.17,12691291263.09,26026.15734500734,12642376525.38,8779054285.77,18003.294026220377,12453946323.77,8650465095.44,17739.594893404097,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Mobile County,AL,About slight way,487636,2001
5524230919.41,3854779269.36,36613.501413903476,12280247476.44,8531289368.07,81031.9744694775,19198111523.35,13342559950.45,126730.43084306108,5051107024.95,3487156840.06,33121.74653134884,5796535758.03,4002947455.54,38020.833900439764,5464856241.33,3794799108.71,36043.79727695829,5450981060.97,3788005564.15,35979.27076688544,5444774093.99,3797332221.19,36067.857310202024,5637993184.18,3922379548.96,37255.58303771739,18286776192.52,12723294381.31,120848.51667705138,12599143771.75,8783525073.07,83427.7620610165,12309458188.16,8528551171.18,81005.96650152447,"GREAT EASTERN,BARIAN",Pleasant Hill,United States,Pennington County,MN,Both obvious tic,105283,2001
5446418134.92,3776184506.3,18480.72248606428,12147217012.69,8422865746.7,41221.6733961073,19182083509.93,13329042706.93,65232.60154812535,4990954627.57,3489537256.75,17077.865114691358,5655510066.95,3921011794.78,19189.51013199172,5587090529.85,3881404392.21,18995.670711786268,5362470914.52,3743026808.97,18318.448052277923,5489290177.61,3799295653.13,18593.82890080311,5538986800.76,3860747788.07,18894.576878055705,18448823424.5,12836551896.56,62822.34167385272,12626744981.47,8744256552.38,42794.566425946134,12257564966.2,8518175887.63,41688.12313173233,"GREAT EASTERN,BARIAN",Greenwood,United States,Dauphin County,PA,Especially oversea,204331,2001
5462968763.3,3771991322.79,17009.263679321433,12264767645.35,8504198554.06,38348.48577549704,19092104636.92,13223569725.24,59629.82546633538,5080225483.9,3532906780.91,15931.145606801918,5725575763.8,3949216208.76,17808.434344902846,5720956710.16,3963864567.78,17874.489057047904,5420140709.52,3768678891.33,16994.32673612583,5449266973.56,3798990481.73,17131.012584403932,5540002982.45,3836243816.37,17299.001250760954,18381058378.65,12791500466.92,57681.46999210862,12609758427.33,8811281420.05,39733.23271472441,12247040628.66,8539975280.1,38509.81588331582,"GREAT EASTERN,BARIAN",Oak Grove,United States,Luce County,MI,Famous skills enact.,221761,2001
5366132336.61,3716958452.99,11532.747700840222,12561031315.34,8694345108.13,26976.2736991151,19455807533.41,13477911947.49,41818.4276177489,5041048384.75,3492634314.75,10836.72870513441,5833554720.63,4039382746.76,12533.145762777074,5523799194.65,3827160581.95,11874.676018163427,5392709924.2,3731416161.76,11577.606181150248,5381680828.83,3732931427.34,11582.307653027032,5592819866.53,3889100301.24,12066.858729987342,18522894624.38,12865466908.73,39918.17121133988,12640511766.51,8787373631.43,27264.916820035,12200965251.98,8517347092.74,26427.095256348202,"GREAT EASTERN,BARIAN",Pleasant Grove,United States,Jefferson Davis Parish,LA,Full cards mi,322296,2001
5500674641.94,3818019109.43,5430.11795930703,12329745331.05,8541391954.32,12147.86110789212,19204882149.24,13351953154.48,18989.606531013953,4970259782.25,3458464286.6,4918.746736469929,5733872074.75,3987558410.53,5671.2425784682255,5493474196.63,3829613134.36,5446.607379917197,5378239268.07,3730181209.81,5305.191880478269,5420920087.11,3767230114.61,5357.884105834148,5543588541.06,3848142976.17,5472.961157599211,18417484479.59,12776303026.87,18170.897140981826,12715423172.4,8817463016.79,12540.498858358258,12449821915.39,8646498351.79,12297.347037684944,"GREAT EASTERN,BARIAN",Pleasant Valley,United States,Barrow County,GA,"Good, comprehens",703119,2001
5268974156.66,3663410496.37,4064.3099672273374,12359889553.51,8585639312.6,9525.195024634968,19113472952.55,13301207763.88,14756.80417044891,5130273131.48,3570292170.17,3961.0013858709217,5640562410.0,3879442296.88,4303.982862449118,5610381481.28,3897424034.41,4323.9324026777285,5385676255.9,3771717866.84,4184.469781630223,5464625246.28,3795181777.26,4210.501427574523,5534949416.7,3842321304.56,4262.799593681111,18238651275.3,12695784866.62,14085.12778633644,12741439394.87,8864264014.13,9834.310574930578,12201876676.38,8468141949.6,9394.8395255619,"GREAT EASTERN,BARIAN",Five Points,United States,Ziebach County,SD,"Important, careful",901361,2001
5370746353.16,3710436233.61,3939.9501496792664,12347673851.16,8556037735.59,9085.28270925206,19280970671.27,13409766173.69,14239.244907273398,4921024420.31,3420474250.52,3632.0521865426704,5631728036.38,3910616734.77,4152.513079170945,5561421895.17,3848825360.49,4086.8995181189853,5337407210.52,3699667953.48,3928.5157834110437,5461748624.51,3763409209.92,3996.199839150005,5580696117.27,3873335921.07,4112.926211678933,18342150797.56,12761297510.42,13550.664361468633,12567353595.88,8715023168.62,9254.1023954629,12302246117.19,8546945867.34,9075.62845152679,"GREAT EASTERN,BARIAN",Pleasant Grove,United States,Ziebach County,SD,Long areas expect ,941747,2001
5449783010.1,3788593424.65,3998.6674160179173,12427487011.4,8598602530.12,9075.387064965002,19292833351.13,13358482820.79,14099.198302827337,5055615257.35,3511047720.12,3705.73205960332,5695227245.05,3961824941.52,4181.504459821164,5569713664.32,3847242243.94,4060.5682579390877,5426250095.07,3752645287.8,3960.7259883225115,5269768932.68,3669090427.51,3872.5380885289574,5588271628.55,3877688093.04,4092.702301132286,18453582570.04,12825361402.21,13536.515796072463,12576956098.96,8762106985.96,9247.957691226264,12345684607.82,8558776293.13,9033.352500073881,"GREAT EASTERN,BARIAN",Oak Grove,United States,Huron County,MI,"Male, recent towns",947464,2001
5339819451.09,3723165946.37,8531.114257232679,12438913396.72,8667540000.19,19860.456164423424,19090812386.06,13275539500.69,30419.042808772243,5028388010.59,3488198257.88,7992.718648189138,5731739278.91,3986106103.82,9133.604868269702,5603778762.63,3882368581.04,8895.904837611302,5468936892.16,3806566246.76,8722.214385984207,5426171484.96,3763412506.94,8623.333624198596,5616442284.46,3915332724.1,8971.437562955121,18790065850.11,13051149194.17,29904.88379176577,12765450283.9,8850653051.21,20280.034121125882,12190613792.13,8450076358.36,19362.168631187244,"GREAT EASTERN,BARIAN",Centerville,United States,Franklin Parish,LA,Modestly diff,436422,2001
5379467097.33,3764587728.05,6848.315890287607,12330133611.68,8561482072.86,15574.543073365958,19207127495.41,13338238586.42,24264.13670193375,5108776315.14,3538351517.78,6436.760324134543,5646564043.24,3922857677.35,7136.231244383403,5514878578.42,3832998172.67,6972.764135034837,5293722301.1,3679361283.01,6693.276969693111,5335016733.1,3709795768.8,6748.641590656892,5593520776.76,3875611428.38,7050.283655709374,18371824576.83,12771776512.98,23233.66231827691,12551429961.22,8696472545.35,15820.109776700441,12263115100.99,8530604397.69,15518.372228429536,"GREAT EASTERN,BARIAN",Mount Pleasant,United States,Huron County,MI,More other mem,549710,2001
5414539577.84,3742609834.39,5451.900620835628,12358038555.98,8581458170.52,12500.703839773452,19079552481.9,13214089689.72,19249.10876928321,5150562997.67,3542233960.77,5160.010897319361,5761058502.37,4004455520.83,5833.3340920320825,5709955699.21,3974129379.72,5789.157671068847,5441764812.8,3749345029.69,5461.711853387873,5442061536.61,3790302100.94,5521.3744663922225,5665517995.8,3925216240.55,5717.905367032884,18381339867.77,12769799076.59,18601.905780797053,12638052026.35,8800777589.71,12820.188833014314,12254573469.32,8513853157.47,12402.222878912362,"GREAT EASTERN,BARIAN",Five Points,United States,Luce County,MI,Normal facili,686478,2001
5475945453.42,3787393209.4,5642.341037028209,12262383048.02,8495874959.09,12656.891238057638,19125547064.96,13263477623.75,19759.517946129952,5128202256.78,3584025267.16,5339.369778784199,5625034161.3,3889932743.3,5795.101257067092,5606702819.16,3906674085.17,5820.041989392845,5327383815.02,3692585047.97,5501.098776110064,5362863286.82,3727990375.94,5553.844536555207,5553930373.3,3829551177.55,5705.146671558075,18361710901.25,12710832598.73,18936.204513597866,12593606044.07,8776242092.32,13074.57350493486,12308594248.6,8530947801.76,12709.141672206124,"GREAT EASTERN,BARIAN",New Hope,United States,San Miguel County,NM,Odd arts will wonde,671245,2001
5337631834.09,3713576807.79,4541.396116003459,12254225014.64,8529654855.95,10431.059713751823,19343116535.26,13416588212.57,16407.37347098079,5007433346.97,3473819967.73,4248.193406435234,5765587440.34,4006797109.44,4899.980200289342,5619160422.61,3907088262.82,4778.044559205691,5324791245.31,3683493150.8,4504.606301202005,5363073565.04,3708199357.75,4534.819941067631,5607919197.88,3901745922.89,4771.511321019375,18205988255.51,12666764340.63,15490.401129767388,12682529686.73,8835580178.37,10805.180983604352,12366904506.16,8596005324.23,10512.200827706896,"GREAT EASTERN,BARIAN",Five Points,United States,Jefferson Davis Parish,LA,Often christian f,817717,2001
5404622555.54,3752386617.09,11393.967215628047,12333305199.59,8581350468.23,26056.91680476481,19480119096.66,13536492905.34,41103.002466636906,5106866736.0,3568690721.12,10836.182203072289,5719779116.37,3950763679.08,11996.33098335717,5651862510.34,3914800292.7,11887.129643732294,5368545888.38,3744324918.92,11369.48820159657,5338876511.73,3706615564.02,11254.98530056387,5614146572.03,3893714478.16,11823.103437453505,18298569649.37,12676196202.54,38490.74700693224,12665758767.52,8797683648.63,26713.8035855416,12341076310.12,8554841815.77,25976.42437477796,"GREAT EASTERN,BARIAN",Centerville,United States,Marshall County,IN,Only soluti,329331,2001
