avg_monthly_sales,d_moy,i_brand,i_category,i_class,s_company_name,s_store_name,sum_sales
3829575.5808333335,2,edu packamalg #2,Women,swimwear,Unknown,able,2096480.55
3808075.1691666665,2,amalgimporto #2,Men,accessories,Unknown,able,2078189.23
3801557.34,2,amalgimporto #2,Men,accessories,Unknown,ese,2076976.05
3825075.1216666666,2,edu packamalg #2,Women,swimwear,Unknown,ese,2101441.66
3798328.013333333,2,amalgimporto #2,Men,accessories,Unknown,bar,2076812.01
3831887.9133333336,2,edu packamalg #2,Women,swimwear,Unknown,bar,2111867.69
3770230.0825,2,edu packamalg #2,Women,swimwear,Unknown,eing,2064977.59
3766605.7425,2,amalgscholar #2,Music,rock,Unknown,able,2062353.25
3774967.0083333333,2,amalgscholar #2,Music,rock,Unknown,bar,2081343.34
3673036.9725,2,amalgscholar #2,Music,rock,Unknown,cally,1989617.94
3770353.235,2,amalgscholar #2,Music,rock,Unknown,ese,2087916.51
3748744.7883333336,2,amalgimporto #2,Men,accessories,Unknown,eing,2074957.94
3713616.1508333334,2,amalgscholar #2,Music,rock,Unknown,eing,2040047.49
3801557.34,6,amalgimporto #2,Men,accessories,Unknown,ese,2133471.43
3831887.9133333336,6,edu packamalg #2,Women,swimwear,Unknown,bar,2166339.0
3831887.9133333336,4,edu packamalg #2,Women,swimwear,Unknown,bar,2167363.68
3808075.1691666665,6,amalgimporto #2,Men,accessories,Unknown,able,2148884.52
3825075.1216666666,4,edu packamalg #2,Women,swimwear,Unknown,ese,2166295.71
3713242.2908333335,2,edu packamalg #2,Women,swimwear,Unknown,cally,2054836.2
3825075.1216666666,6,edu packamalg #2,Women,swimwear,Unknown,ese,2174791.09
3766605.7425,4,amalgscholar #2,Music,rock,Unknown,able,2116443.65
3829575.5808333335,4,edu packamalg #2,Women,swimwear,Unknown,able,2182062.57
3798328.013333333,4,amalgimporto #2,Men,accessories,Unknown,bar,2151993.62
3690358.3425,2,amalgimporto #2,Men,accessories,Unknown,cally,2045178.16
3808075.1691666665,4,amalgimporto #2,Men,accessories,Unknown,able,2164719.51
3798328.013333333,6,amalgimporto #2,Men,accessories,Unknown,bar,2155595.82
3829575.5808333335,6,edu packamalg #2,Women,swimwear,Unknown,able,2189814.18
3774967.0083333333,6,amalgscholar #2,Music,rock,Unknown,bar,2136405.79
3770230.0825,6,edu packamalg #2,Women,swimwear,Unknown,eing,2132536.92
3770353.235,4,amalgscholar #2,Music,rock,Unknown,ese,2134614.8
3770353.235,6,amalgscholar #2,Music,rock,Unknown,ese,2135030.63
3801557.34,4,amalgimporto #2,Men,accessories,Unknown,ese,2171393.43
3766605.7425,6,amalgscholar #2,Music,rock,Unknown,able,2142602.96
3770230.0825,4,edu packamalg #2,Women,swimwear,Unknown,eing,2150548.13
3713616.1508333334,6,amalgscholar #2,Music,rock,Unknown,eing,2099398.28
3748744.7883333336,4,amalgimporto #2,Men,accessories,Unknown,eing,2135474.08
3774967.0083333333,4,amalgscholar #2,Music,rock,Unknown,bar,2167831.57
3713242.2908333335,4,edu packamalg #2,Women,swimwear,Unknown,cally,2107610.11
3690358.3425,4,amalgimporto #2,Men,accessories,Unknown,cally,2087383.7
3829575.5808333335,5,edu packamalg #2,Women,swimwear,Unknown,able,2226966.02
3690358.3425,6,amalgimporto #2,Men,accessories,Unknown,cally,2088893.1
3673036.9725,6,amalgscholar #2,Music,rock,Unknown,cally,2072467.0
3713242.2908333335,6,edu packamalg #2,Women,swimwear,Unknown,cally,2113597.48
