n_name,p_mfgr,p_partkey,s_acctbal,s_address,s_comment,s_name,s_phone
PERU,Manufacturer#5,1997087,9999.01,"P85QDawcob9ReWZ,KESPhKQP2 obc2Qjr1cGoNFa",integrate enticingly. carefully bold ,Supplier#000022107,27-888-324-2213
UNITED STATES,Manufacturer#5,1471445,9997.03,"B1WCuHtuY5Lm4bj,S",posits are. regular braids about th,Supplier#000021474,34-502-253-8876
UNITED STATES,Manufacturer#3,1646425,9997.03,"B1WCuHtuY5Lm4bj,S",posits are. regular braids about th,Supplier#000021474,34-502-253-8876
PERU,Manufacturer#5,474057,9995.18,CaiBTBTvHdFo3EwYUXSXMWmr9VgCzKka6sM1EWl9,efully regular requests. dependencies are carefully slyly pending foxes. f,Supplier#000024066,27-188-860-4114
PERU,Manufacturer#3,844613,9993.25,ccerhM3xG37YxRoYDQeoBpkDww6a5XaNJvJcXP, the carefully regular epitaphs. carefully ironic pinto beans sleep quickly atop the bold theodo,Supplier#000044614,27-432-652-3792
BRAZIL,Manufacturer#3,1511268,9989.9,"V,4bksZDdE1Ux3YhH1UE0SeGZjudbbVvb,H3eA 3",egular accounts after the furiously express requests doubt above the slyly,Supplier#000011269,12-917-310-3275
BRAZIL,Manufacturer#3,1869242,9979.62,"J5kVLNgCMxaU YG,7tzS4wrQ,7V09D1g", the carefully even packages. ,Supplier#000094261,12-578-700-2233
PERU,Manufacturer#1,668135,9975.36,"ceyXDJZTZLW,rAjR3JrcPHKs3ufvNMQJkF1","ackages are. final deposits affix. express, pending asymptotes sleep slyly. regular requests ",Supplier#000068136,27-857-226-7467
UNITED STATES,Manufacturer#3,1422282,9970.01,K2XFsSTJYfZgk s6,"inal deposits. furious, sly",Supplier#000047297,34-636-282-3414
CANADA,Manufacturer#1,1867866,9962.82,sNORh6QZpg1pC2nA1pRKrVHAPLIvQoC4,y pending packages cajole carefully. furiously special foxes sleep slyly alongs,Supplier#000042921,13-145-247-8041
BRAZIL,Manufacturer#1,1023287,9961.94,PxS8y8udJ6oh,ctions haggle. instructions use. quickly eve,Supplier#000073308,12-387-954-3952
BRAZIL,Manufacturer#5,205695,9959.88,"a8mRYpNQHaBi0x5TYejuHPn,cb",ages. furiously final courts boost slyly slyly ironic accounts. unusual packages cajole. stealth,Supplier#000005696,12-622-757-1711
UNITED STATES,Manufacturer#1,867941,9959.38,OV3q1nz1WynMGkVo3KNdDHty6w6L 4i0Sj,xpress deposits. quickly ironic dugouts sleep blithely. regularly final requests alo,Supplier#000067942,34-377-267-9892
UNITED STATES,Manufacturer#2,1717907,9959.38,OV3q1nz1WynMGkVo3KNdDHty6w6L 4i0Sj,xpress deposits. quickly ironic dugouts sleep blithely. regularly final requests alo,Supplier#000067942,34-377-267-9892
CANADA,Manufacturer#3,675811,9954.99,"1oQ8iygPTdCBtz3Mf4Ol,N4wlVzAbqt",nding theodolites. carefully express inst,Supplier#000050830,13-121-628-3805
BRAZIL,Manufacturer#2,100446,9954.28,Q86rmIYPDA3WPH4TjVYnI1Rr3TgQ854Bur,silent foxes across the furiously final deposits cajole bli,Supplier#000050449,12-387-814-2885
UNITED STATES,Manufacturer#1,1671201,9952.19,uTp8g5HV4fHLbgkMlr0BfZI, slyly bold accounts cajole fluffily instructions. expr,Supplier#000021234,34-875-257-9915
BRAZIL,Manufacturer#5,1176871,9946.62,"zsuYhA9n6CathESYr,BSZu5twMC4b", quickly. blithely silent ideas hinder slyly. ironic ,Supplier#000026894,12-208-934-3709
ARGENTINA,Manufacturer#2,1108323,9938.1,"7wb6iOHpRkgE,mqyrDzcckkexToZTR94", silent dinos across the blithely pending ideas will have to wake carefully across the furiousl,Supplier#000083357,11-501-299-4731
PERU,Manufacturer#2,217368,9937.32,"E, 78mQ24Z9t44oghYIkYCW",xes. furiously even accounts use. instruct,Supplier#000042371,27-122-876-2607
PERU,Manufacturer#1,436588,9935.3,"xk3tq6p,i3PRi5L2MSqZ,0IF2 ",ld frets. carefully bold requests sleep carefully silent pinto beans. ,Supplier#000036589,27-141-194-4187
CANADA,Manufacturer#3,1439633,9931.81,"X90EoPqLCSwXgsEe9,AYC","e ironic foxes are above the ironic, regular theodolites. slyly ironic platelets across t",Supplier#000089662,13-713-505-6355
UNITED STATES,Manufacturer#1,761521,9930.72,"FdfESt,aqJBPsXqQnPPTAgtARfhHBB36xOV","ar, final requests. ironic, final theodolites boost carefully above the ",Supplier#000036543,34-789-417-1136
PERU,Manufacturer#2,486840,9929.96,4bwRlGIQVr,"efully. regular, permanent deposits are furiously quickly unusual depen",Supplier#000011845,27-332-994-1776
ARGENTINA,Manufacturer#5,433092,9923.4,aIF4uckQFrNg7ndAi6PLqjTv1kdHVq7OqKFF,onic pinto beans after the carefully pending grouches wake express platelets. quickly even foxes ,Supplier#000058097,11-366-468-1405
ARGENTINA,Manufacturer#5,861781,9922.73,"UXZUe1TB2tU6,Jn8gEZOec938LYAy",ironic requests. slyly unusual deposits affi,Supplier#000036806,11-712-312-9745
CANADA,Manufacturer#1,876737,9920.74,qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd,ful requests at the ironic pinto beans are regular deposits.,Supplier#000001746,13-538-692-8661
ARGENTINA,Manufacturer#1,932763,9919.2,rlHCrxnFGkg243mouCoZkI,bold waters! carefully unusual instructions according to the boldly special depo,Supplier#000032764,11-460-618-5311
PERU,Manufacturer#3,838246,9918.01,Ry22MdPbFeIsT4D3UR3qHMW3GSJP6mAnX,e blithely. regular foxes use carefully above ,Supplier#000038247,27-491-787-2475
BRAZIL,Manufacturer#5,1617975,9914.09,kTc49cokiJGfpAcJWw8Lvcy0cfRVjw,sits according to the express ideas ,Supplier#000042992,12-380-641-2845
CANADA,Manufacturer#1,1846429,9912.59,"eCK,OVPzLDGWpgDcA2aH","y final requests cajole bravely. quickly ironic requests cajole gifts. special, even accounts ",Supplier#000046430,13-481-445-6102
ARGENTINA,Manufacturer#4,692042,9909.83,4JxTgNW5vH9sj,ully packages. blithely regular deposits ha,Supplier#000067061,11-712-439-2302
ARGENTINA,Manufacturer#2,1900050,9909.15,cPGTiMukVzXoooDP0VHqT7DR6AaDyO0x,"ar, ironic ideas haggle slyly ironic, bold ideas. slyly regular instructions are slyly.",Supplier#000050089,11-779-612-2370
PERU,Manufacturer#2,367543,9908.7,"KJILJilbUVcs,eYEd3R","es sleep furiously silent dinos. fluffily pending requests alongside of the ironic, iron",Supplier#000067544,27-764-167-7772
CANADA,Manufacturer#4,254633,9902.11,4mjz11M2ItgSkMvE8TtihBx0 X07S5jl5jb,ly pending requests. platelets along the unusual ideas are furiously even dependenc,Supplier#000029640,13-706-632-3658
BRAZIL,Manufacturer#2,1792550,9897.88,"EWaamaRNX8S7Dclqx XB9XYqHlSW,tLyW",iously ironic foxes. special pinto beans maintain blithely express pinto beans,Supplier#000067602,12-675-340-3599
UNITED STATES,Manufacturer#2,213068,9895.93,IEHBrMtVnfO7rVgv1rDu9Hvg9TWXMaY1eU,f the packages use about the pending accounts. blithely reg,Supplier#000088075,34-376-708-2299
ARGENTINA,Manufacturer#5,662634,9893.62,C1DvpNpY708jUdFUEa2Ce1XWEZixeW,e slyly quickly regular asymptotes. blithely bold fo,Supplier#000037653,11-499-894-7573
CANADA,Manufacturer#3,1941224,9893.13,"jMOCPgtmc2EintUA,vfeb Iq8ofNOufwweMyxJU",he accounts. fluffily ironic deposits along the slyly regular the,Supplier#000066244,13-771-768-6214
BRAZIL,Manufacturer#2,320256,9892.39,a0YL8NgNzK,ove the furiously unusual packages. slyly bold pinto beans sleep furiously ,Supplier#000095266,12-606-558-5332
BRAZIL,Manufacturer#4,1695265,9892.39,a0YL8NgNzK,ove the furiously unusual packages. slyly bold pinto beans sleep furiously ,Supplier#000095266,12-606-558-5332
CANADA,Manufacturer#2,957968,9889.3,NZXfuWO7nKQDj4xyO31N29,ickly. furiously express courts cajole slyly. fluffily special requests hag,Supplier#000007987,13-178-212-4133
ARGENTINA,Manufacturer#1,350165,9889.03,x5wtwqs7lz2QOlZxpEthE9,he slyly regular packages are sl,Supplier#000050166,11-698-272-2505
BRAZIL,Manufacturer#1,1590077,9884.97,"lARq6GS2PQ0ACtRsfA4snTSfSMaKrEhoM,N",o beans use. deposits cajole furiously about the packages. fluffily special accounts after,Supplier#000090078,12-386-407-5412
CANADA,Manufacturer#2,562003,9884.55,HGLILugwb16N04PbIyE9dP2pXeSoNkT bvXWB0,"gular dependencies cajole around the braids. ironic deposits above the quick, careful acc",Supplier#000012014,13-178-354-1792
CANADA,Manufacturer#4,1466025,9881.6,"cLqrYKmyeG2B,vRs0qQbKaA0RaDAwiuUgUG",t the finally ironic requests detect busily across the theodolites. ,Supplier#000016054,13-889-499-8710
CANADA,Manufacturer#4,1275978,9880.98,"pXpIi1EZSh,B3z3oJL8GyNvO9fcbxNcoS1BKZIQ", furiously bold platelets. silent packages integrate slyly against the quickly final d,Supplier#000026003,13-375-465-1645
PERU,Manufacturer#5,1466077,9879.23,HjQ78cl301MYHFPkPd6VNwymRo,eas print alongside of the even ideas. slyly ironic forges na,Supplier#000041120,27-752-249-5407
ARGENTINA,Manufacturer#5,791805,9866.58,"nP81MiAINx0sowcnqvMbTy1LMB,FAVL5wYVWQ5","ld requests nod at the express, final asymptotes. furiously pending att",Supplier#000066827,11-650-324-3679
PERU,Manufacturer#5,1327754,9859.2,mqYkqPRdbRyYPzWCyaEYXF6f51,the instructions. furiously regular requests sleep. ,Supplier#000077781,27-672-780-4665
UNITED STATES,Manufacturer#4,109106,9857.03,"qMSxmMdeYoMJ,",s. furiously final dependencies against the even sentiments are fluffily among the fur,Supplier#000084110,34-622-943-2069
UNITED STATES,Manufacturer#2,233450,9854.14,tq2dsfHKPzmt8oL4pflhp,ies. ironic dependencies above the pack,Supplier#000058453,34-976-558-1196
UNITED STATES,Manufacturer#4,433448,9854.14,tq2dsfHKPzmt8oL4pflhp,ies. ironic dependencies above the pack,Supplier#000058453,34-976-558-1196
CANADA,Manufacturer#2,1876226,9851.62,"bztTCfHZnsLafgtZWe,isV Gr 4IFg",s. accounts haggle slyly. f,Supplier#000001245,13-597-902-8280
