c_custkey,c_name,o_orderdate,o_orderkey,o_totalprice,sum
11472112,Customer#011472112,1998-02-05,458304292,591036.15,322.0
12090925,Customer#012090925,1995-02-04,501322081,586945.44,319.0
13458721,Customer#013458721,1997-12-19,333307747,572334.88,319.0
8643083,Customer#008643083,1997-06-29,84927619,571417.48,316.0
5914657,Customer#005914657,1996-02-11,55799200,568754.48,327.0
11461310,Customer#011461310,1992-07-22,20662370,566353.2,315.0
7682894,Customer#007682894,1993-07-22,532736640,563532.16,316.0
12070685,Customer#012070685,1997-06-18,34201984,563492.49,322.0
12878113,Customer#012878113,1997-11-26,42290181,563479.57,318.0
506836,Customer#000506836,1992-03-21,116567399,563342.71,319.0
12848143,Customer#012848143,1994-12-06,501771233,562642.03,317.0
3493022,Customer#003493022,1996-01-09,182898470,561296.06,318.0
13083751,Customer#013083751,1996-10-27,28077922,560893.88,319.0
6580315,Customer#006580315,1994-05-20,343593507,560058.6,321.0
9427249,Customer#009427249,1993-09-19,48881602,559502.82,327.0
6594658,Customer#006594658,1997-08-01,555833473,557961.99,324.0
5925541,Customer#005925541,1992-05-13,446215044,556993.03,318.0
7010650,Customer#007010650,1993-12-17,587222276,555946.71,329.0
8211575,Customer#008211575,1992-12-19,218305350,555691.15,316.0
5523215,Customer#005523215,1997-12-30,499594150,552295.59,322.0
6048598,Customer#006048598,1994-05-30,45897379,550195.48,318.0
3262783,Customer#003262783,1997-04-16,327814241,548355.89,319.0
2099413,Customer#002099413,1993-01-23,507968289,547809.74,316.0
12179552,Customer#012179552,1992-01-06,157723879,545008.93,320.0
328568,Customer#000328568,1997-02-04,584293472,544997.41,317.0
5098117,Customer#005098117,1996-04-15,82043264,544838.33,330.0
6394964,Customer#006394964,1994-11-15,410876964,543654.37,324.0
5021956,Customer#005021956,1992-05-10,163897538,543411.84,315.0
14745380,Customer#014745380,1993-03-31,323533249,543411.82,322.0
10763563,Customer#010763563,1994-01-18,575451169,539403.56,329.0
8402254,Customer#008402254,1993-02-23,539392967,538886.31,333.0
8654869,Customer#008654869,1993-04-12,100176839,538846.61,317.0
14286853,Customer#014286853,1995-03-02,423877508,536949.18,319.0
8208034,Customer#008208034,1993-07-12,446989058,536601.61,315.0
9666952,Customer#009666952,1994-09-23,475794275,536427.97,322.0
14831182,Customer#014831182,1996-06-12,92086567,536294.92,322.0
13677323,Customer#013677323,1992-04-22,387783079,535504.63,316.0
4663856,Customer#004663856,1996-09-12,159914310,535322.28,315.0
299162,Customer#000299162,1996-01-28,303098309,534421.58,315.0
13094119,Customer#013094119,1995-05-09,111128577,534239.89,316.0
12726752,Customer#012726752,1995-03-06,92511430,533441.05,318.0
11219830,Customer#011219830,1996-07-03,156065860,533119.17,325.0
13477537,Customer#013477537,1997-04-14,175859779,532574.3,325.0
3082444,Customer#003082444,1993-03-24,319083271,532223.76,315.0
10716088,Customer#010716088,1994-07-15,275341121,532037.67,326.0
9444602,Customer#009444602,1992-01-28,177770599,531961.4,337.0
13616422,Customer#013616422,1995-09-05,329431840,531857.34,316.0
155713,Customer#000155713,1996-06-18,531652866,531350.79,326.0
13300369,Customer#013300369,1993-03-25,559711910,530710.84,324.0
3172843,Customer#003172843,1998-01-24,44178691,530083.88,316.0
7404905,Customer#007404905,1992-11-21,87006309,529089.99,320.0
7773805,Customer#007773805,1993-12-24,261498084,528495.53,319.0
9668443,Customer#009668443,1995-02-22,327357765,527800.9,325.0
6125536,Customer#006125536,1993-12-16,532672775,527552.58,326.0
4041908,Customer#004041908,1992-10-25,99667621,526326.09,317.0
6541660,Customer#006541660,1992-03-31,130130438,525783.23,324.0
12270997,Customer#012270997,1993-10-12,35542498,525713.29,325.0
2620171,Customer#002620171,1994-11-28,546228576,524372.13,325.0
11942315,Customer#011942315,1993-07-14,137209030,524187.78,323.0
7051187,Customer#007051187,1997-07-24,138606375,522926.52,318.0
2667464,Customer#002667464,1992-08-10,41274690,520813.13,317.0
7297621,Customer#007297621,1998-01-30,442178406,520565.56,318.0
12912623,Customer#012912623,1995-08-17,187711367,519950.45,325.0
8050909,Customer#008050909,1994-09-13,260432385,519518.68,324.0
7354688,Customer#007354688,1992-02-01,584032992,518933.52,316.0
10930157,Customer#010930157,1997-05-21,232919687,518754.11,334.0
280583,Customer#000280583,1998-03-10,224453441,518616.51,318.0
40175,Customer#000040175,1992-02-01,507136258,518497.04,317.0
358255,Customer#000358255,1992-01-17,396154496,518095.13,317.0
8149051,Customer#008149051,1995-04-16,127825121,517895.56,320.0
9049549,Customer#009049549,1994-04-02,323219458,517408.68,315.0
13163174,Customer#013163174,1998-02-06,546761091,517316.41,316.0
14141798,Customer#014141798,1996-06-08,531081185,516399.57,321.0
11173516,Customer#011173516,1998-06-09,143875140,516258.94,315.0
4621336,Customer#004621336,1993-05-10,294701219,516081.84,315.0
9433798,Customer#009433798,1997-10-17,469098182,516024.87,317.0
9814556,Customer#009814556,1997-08-12,20971013,515684.69,322.0
14111593,Customer#014111593,1993-08-23,233925702,515501.24,318.0
14241335,Customer#014241335,1997-03-21,138263686,515295.16,315.0
1908445,Customer#001908445,1994-07-07,430200967,514842.81,322.0
