nation,o_year,sum_profit
ALGERIA,1998.0,2759877817.6328
ALGERIA,1997.0,4684272811.7461
ALGERIA,1996.0,4703161747.1054
ALGERIA,1995.0,4694285207.6392
ALGERIA,1994.0,4710613281.7932
ALGERIA,1993.0,4667803060.96
ALGERIA,1992.0,4703589817.722
ARGENTINA,1998.0,2714908940.7852
ARGENTINA,1997.0,4647704070.4116
ARGENTINA,1996.0,4646929497.9159
ARGENTINA,1995.0,4625072441.4044
ARGENTINA,1994.0,4630958466.5683
ARGENTINA,1993.0,4628050073.6368
ARGENTINA,1992.0,4666518801.968
BRAZIL,1998.0,2732041975.5169
BRAZIL,1997.0,4675950595.5074
BRAZIL,1996.0,4681929963.6326
BRAZIL,1995.0,4691218665.1614
BRAZIL,1994.0,4645804159.3583
BRAZIL,1993.0,4670734481.4463
BRAZIL,1992.0,4706243716.9927
CANADA,1998.0,2714361339.6605
CANADA,1997.0,4723198212.1627
CANADA,1996.0,4682923444.5155
CANADA,1995.0,4672003461.9058
CANADA,1994.0,4662838267.5884
CANADA,1993.0,4668051713.1873
CANADA,1992.0,4674742964.2115
CHINA,1998.0,2751439827.0297
CHINA,1997.0,4670090939.8239
CHINA,1996.0,4716873159.455
CHINA,1995.0,4666344513.3451
CHINA,1994.0,4670289866.5112
CHINA,1993.0,4679846077.6512
CHINA,1992.0,4686905582.015
EGYPT,1998.0,2726697603.0777
EGYPT,1997.0,4675213649.6088
EGYPT,1996.0,4697525471.5592
EGYPT,1995.0,4670219154.5138
EGYPT,1994.0,4681658483.0251
EGYPT,1993.0,4683018136.4979
EGYPT,1992.0,4682001335.2655
ETHIOPIA,1998.0,2746693982.9785
ETHIOPIA,1997.0,4715642728.6681
ETHIOPIA,1996.0,4688758127.7817
ETHIOPIA,1995.0,4696315377.3725
ETHIOPIA,1994.0,4711407353.3552
ETHIOPIA,1993.0,4689993139.0688
ETHIOPIA,1992.0,4726824381.3395
FRANCE,1998.0,2742134116.954
FRANCE,1997.0,4692250725.5729
FRANCE,1996.0,4706277813.7145
FRANCE,1995.0,4685413278.7085
FRANCE,1994.0,4674863852.9125
FRANCE,1993.0,4677840907.0399
FRANCE,1992.0,4692629574.4044
GERMANY,1998.0,2763821699.6329
GERMANY,1997.0,4699191586.6356
GERMANY,1996.0,4704536128.0879
GERMANY,1995.0,4677867052.4019
GERMANY,1994.0,4687469419.9547
GERMANY,1993.0,4686176401.8933
GERMANY,1992.0,4699028348.5754
INDIA,1998.0,2762449816.5041
INDIA,1997.0,4706287651.3074
INDIA,1996.0,4721127974.9911
INDIA,1995.0,4720910719.2801
INDIA,1994.0,4704803018.3581
INDIA,1993.0,4695507061.8042
INDIA,1992.0,4725960764.4296
INDONESIA,1998.0,2743180324.0751
INDONESIA,1997.0,4624023192.5575
INDONESIA,1996.0,4620776624.6298
INDONESIA,1995.0,4610624640.809
INDONESIA,1994.0,4602899051.2479
INDONESIA,1993.0,4612585866.5913
INDONESIA,1992.0,4603400143.9277
IRAN,1998.0,2726635097.2127
IRAN,1997.0,4643535938.9472
IRAN,1996.0,4645727900.3502
IRAN,1995.0,4628992756.7679
IRAN,1994.0,4642545184.3732
IRAN,1993.0,4647460810.9194
IRAN,1992.0,4636332371.5425
IRAQ,1998.0,2727436661.6348
IRAQ,1997.0,4649970939.5208
IRAQ,1996.0,4672734972.553
IRAQ,1995.0,4663477457.7969
IRAQ,1994.0,4639881036.0481
IRAQ,1993.0,4644903440.6422
IRAQ,1992.0,4666148269.2814
JAPAN,1998.0,2692080006.9294
JAPAN,1997.0,4633823447.8652
JAPAN,1996.0,4654162098.9796
JAPAN,1995.0,4636427796.1657
JAPAN,1994.0,4621646045.5343
JAPAN,1993.0,4600241668.6542
JAPAN,1992.0,4640240676.9516
JORDAN,1998.0,2733120914.3472
JORDAN,1997.0,4652744752.8185
JORDAN,1996.0,4688317521.3601
JORDAN,1995.0,4666325323.0112
JORDAN,1994.0,4653149707.6011
JORDAN,1993.0,4671211094.5629
JORDAN,1992.0,4671802838.1161
KENYA,1998.0,2716961989.7316
KENYA,1997.0,4608208565.3283
KENYA,1996.0,4638428293.6821
KENYA,1995.0,4634792725.2684
KENYA,1994.0,4632058297.4497
KENYA,1993.0,4629338605.1691
KENYA,1992.0,4643734015.3801
MOROCCO,1998.0,2727176283.0363
MOROCCO,1997.0,4655068417.8194
MOROCCO,1996.0,4682917987.7523
MOROCCO,1995.0,4670819545.9121
MOROCCO,1994.0,4687567001.169
MOROCCO,1993.0,4663716845.2393
MOROCCO,1992.0,4713328643.9084
MOZAMBIQUE,1998.0,2721599649.7626
MOZAMBIQUE,1997.0,4665072265.6263
MOZAMBIQUE,1996.0,4683037476.7279
MOZAMBIQUE,1995.0,4650578486.8597
MOZAMBIQUE,1994.0,4645499371.2303
MOZAMBIQUE,1993.0,4648762266.4562
MOZAMBIQUE,1992.0,4648837552.0691
PERU,1998.0,2716266635.7964
PERU,1997.0,4618572406.036
PERU,1996.0,4618549845.2193
PERU,1995.0,4613160670.7087
PERU,1994.0,4620838540.0867
PERU,1993.0,4625024629.3606
PERU,1992.0,4602632052.2883
ROMANIA,1998.0,2724087867.5462
ROMANIA,1997.0,4667084837.684
ROMANIA,1996.0,4685567793.1688
ROMANIA,1995.0,4673906465.623
ROMANIA,1994.0,4683405138.0774
ROMANIA,1993.0,4678298509.4694
ROMANIA,1992.0,4670410416.5218
RUSSIA,1998.0,2724804276.0989
RUSSIA,1997.0,4652147629.3482
RUSSIA,1996.0,4681533241.2561
RUSSIA,1995.0,4626321939.9886
RUSSIA,1994.0,4643411122.7423
RUSSIA,1993.0,4643672257.7749
RUSSIA,1992.0,4658971479.621
SAUDI ARABIA,1998.0,2741681661.4662
SAUDI ARABIA,1997.0,4699243227.6546
SAUDI ARABIA,1996.0,4715954325.3002
SAUDI ARABIA,1995.0,4678381622.1502
SAUDI ARABIA,1994.0,4692853652.7418
SAUDI ARABIA,1993.0,4678200512.5339
SAUDI ARABIA,1992.0,4683619087.5503
UNITED KINGDOM,1998.0,2756130561.8396
UNITED KINGDOM,1997.0,4688737660.7366
UNITED KINGDOM,1996.0,4700310840.9882
UNITED KINGDOM,1995.0,4663406887.1188
UNITED KINGDOM,1994.0,4704314842.1298
UNITED KINGDOM,1993.0,4663252592.0495
UNITED KINGDOM,1992.0,4704840901.7732
UNITED STATES,1998.0,2736956953.6676
UNITED STATES,1997.0,4678497937.308
UNITED STATES,1996.0,4674475497.2225
UNITED STATES,1995.0,4646876108.485
UNITED STATES,1994.0,4682461778.6743
UNITED STATES,1993.0,4673293139.58
UNITED STATES,1992.0,4668951705.0962
VIETNAM,1998.0,2753444370.3154
VIETNAM,1997.0,4662340066.7321
VIETNAM,1996.0,4695388867.0909
VIETNAM,1995.0,4689975601.3309
VIETNAM,1994.0,4685564014.5845
VIETNAM,1993.0,4693553506.9267
VIETNAM,1992.0,4698412955.1118
