p_brand,p_size,p_type,supplier_cnt
Brand#44,46,STANDARD BRUSHED COPPER,1568
Brand#33,43,LARGE PLATED COPPER,1567
Brand#45,31,LARGE POLISHED STEEL,1559
Brand#53,41,ECONOMY BRUSHED STEEL,1552
Brand#54,44,SMALL PLATED COPPER,1543
Brand#51,31,ECONOMY ANODIZED NICKEL,1539
Brand#41,43,ECONOMY POLISHED TIN,1535
Brand#52,31,MEDIUM ANODIZED TIN,1535
Brand#14,41,SMALL PLATED NICKEL,1526
Brand#11,13,MEDIUM BRUSHED BRASS,1523
Brand#13,46,SMALL BRUSHED STEEL,1523
Brand#53,31,LARGE BURNISHED TIN,1523
Brand#31,44,STANDARD ANODIZED TIN,1521
Brand#34,43,PROMO BURNISHED NICKEL,1520
Brand#44,44,SMALL POLISHED BRASS,1520
Brand#41,43,SMALL POLISHED NICKEL,1519
Brand#42,36,SMALL PLATED NICKEL,1519
Brand#54,41,STANDARD BURNISHED BRASS,1519
Brand#44,41,ECONOMY PLATED COPPER,1515
Brand#53,33,LARGE PLATED STEEL,1515
Brand#35,43,STANDARD BURNISHED STEEL,1514
Brand#42,36,STANDARD BURNISHED COPPER,1514
Brand#11,13,MEDIUM ANODIZED BRASS,1511
Brand#34,44,MEDIUM BRUSHED COPPER,1511
Brand#43,13,ECONOMY PLATED NICKEL,1511
Brand#55,13,SMALL ANODIZED STEEL,1511
Brand#25,33,STANDARD POLISHED STEEL,1510
Brand#33,44,MEDIUM POLISHED STEEL,1508
Brand#22,41,STANDARD ANODIZED STEEL,1507
Brand#25,13,LARGE PLATED STEEL,1507
Brand#35,31,SMALL BURNISHED STEEL,1507
Brand#44,44,SMALL PLATED BRASS,1507
Brand#31,43,LARGE ANODIZED STEEL,1506
Brand#12,36,MEDIUM BURNISHED STEEL,1504
Brand#33,43,STANDARD ANODIZED BRASS,1504
Brand#54,36,PROMO BRUSHED COPPER,1502
Brand#12,43,STANDARD BRUSHED COPPER,1500
Brand#21,33,LARGE BURNISHED TIN,1499
Brand#34,13,SMALL POLISHED BRASS,1499
Brand#44,43,PROMO BURNISHED COPPER,1499
Brand#24,33,MEDIUM POLISHED NICKEL,1496
Brand#31,46,ECONOMY PLATED TIN,1496
Brand#41,33,PROMO POLISHED COPPER,1496
Brand#42,33,ECONOMY BRUSHED TIN,1496
Brand#45,33,ECONOMY POLISHED COPPER,1496
Brand#51,36,LARGE ANODIZED NICKEL,1496
Brand#51,36,MEDIUM ANODIZED TIN,1496
Brand#52,41,LARGE PLATED STEEL,1496
Brand#13,44,MEDIUM BRUSHED BRASS,1495
Brand#21,41,ECONOMY ANODIZED STEEL,1495
Brand#25,31,ECONOMY BURNISHED NICKEL,1495
Brand#21,31,PROMO BRUSHED TIN,1494
Brand#12,44,SMALL BRUSHED STEEL,1492
Brand#31,41,SMALL ANODIZED TIN,1492
Brand#33,33,SMALL ANODIZED BRASS,1492
Brand#42,46,ECONOMY BURNISHED STEEL,1492
Brand#42,41,ECONOMY BURNISHED TIN,1491
Brand#43,43,LARGE BURNISHED NICKEL,1491
Brand#12,33,MEDIUM POLISHED BRASS,1490
Brand#41,33,LARGE BURNISHED BRASS,1490
Brand#42,31,ECONOMY POLISHED COPPER,1490
Brand#14,44,LARGE BURNISHED BRASS,1489
Brand#34,41,PROMO ANODIZED STEEL,1489
Brand#11,31,ECONOMY BURNISHED COPPER,1488
Brand#23,36,SMALL POLISHED BRASS,1487
