numwait,s_name
28,Supplier#001976683
27,Supplier#000154689
27,Supplier#001802269
26,Supplier#001083042
25,Supplier#001032584
25,Supplier#001327993
25,Supplier#001387197
25,Supplier#001722608
24,Supplier#000900821
24,Supplier#001037608
24,Supplier#001169103
24,Supplier#001439102
24,Supplier#001442971
24,Supplier#001701249
24,Supplier#001719183
24,Supplier#001982809
24,Supplier#002497596
24,Supplier#002515109
24,Supplier#002977778
23,Supplier#000294570
23,Supplier#000357417
23,Supplier#000443247
23,Supplier#000559131
23,Supplier#000638727
23,Supplier#000838926
23,Supplier#000973857
23,Supplier#001001709
23,Supplier#001193597
23,Supplier#001213576
23,Supplier#001335694
23,Supplier#001379049
23,Supplier#001385486
23,Supplier#001513953
23,Supplier#001542386
23,Supplier#001674803
23,Supplier#002063718
23,Supplier#002133828
23,Supplier#002187215
23,Supplier#002333755
23,Supplier#002868171
23,Supplier#002875497
22,Supplier#000063670
22,Supplier#000117685
22,Supplier#000182629
22,Supplier#000207037
22,Supplier#000261221
22,Supplier#000263789
22,Supplier#000299568
22,Supplier#000537335
22,Supplier#000602641
22,Supplier#000709358
22,Supplier#000742526
22,Supplier#000757798
22,Supplier#000760562
22,Supplier#000809572
22,Supplier#000828439
22,Supplier#000857936
22,Supplier#000932063
22,Supplier#000937470
22,Supplier#001073226
22,Supplier#001191603
22,Supplier#001223218
22,Supplier#001337407
22,Supplier#001358688
22,Supplier#001372672
22,Supplier#001436342
22,Supplier#001486417
22,Supplier#001508733
22,Supplier#001582072
22,Supplier#001603876
22,Supplier#001637524
22,Supplier#001674603
22,Supplier#001703809
22,Supplier#001784554
22,Supplier#001815600
22,Supplier#001832212
22,Supplier#001879565
22,Supplier#001903510
22,Supplier#001949421
22,Supplier#001988047
22,Supplier#002090068
22,Supplier#002143120
22,Supplier#002209196
22,Supplier#002283598
22,Supplier#002356600
22,Supplier#002358530
22,Supplier#002367228
22,Supplier#002410876
22,Supplier#002418322
22,Supplier#002466836
22,Supplier#002476249
22,Supplier#002535062
22,Supplier#002556835
22,Supplier#002563400
22,Supplier#002585234
22,Supplier#002609474
22,Supplier#002626095
22,Supplier#002650162
22,Supplier#002678287
22,Supplier#002678298
